Date,Country,Region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
29/03/2020,US,Total,-47,-22,-19,-51,-38,12
29/03/2020,United States of America,Alabama,-41,-13,19,-30,-32,9
29/03/2020,United States of America,Alaska,-48,-27,18,-55,-33,10
29/03/2020,United States of America,Arizona,-40,-17,-7,-41,-33,10
29/03/2020,United States of America,Arkansas,-29,-7,81,-22,-27,7
29/03/2020,United States of America,California,-50,-24,-38,-54,-39,15
29/03/2020,United States of America,Colorado,-51,-27,-12,-60,-40,13
29/03/2020,United States of America,Connecticut,-56,-32,-52,-64,-38,15
29/03/2020,United States of America,Delaware,-47,-28,-6,-57,-37,12
29/03/2020,United States of America,District of Columbia,-64,-30,-41,-68,-47,14
29/03/2020,United States of America,Florida,-50,-26,-48,-63,-41,13
29/03/2020,United States of America,Georgia,-42,-17,-2,-52,-37,11
29/03/2020,United States of America,Hawaii,-56,-36,-65,-72,-45,16
29/03/2020,United States of America,Idaho,-42,-18,25,-34,-38,10
29/03/2020,United States of America,Illinois,-53,-24,-29,-55,-39,13
29/03/2020,United States of America,Indiana,-48,-25,24,-34,-36,11
29/03/2020,United States of America,Iowa,-43,-10,41,-28,-29,10
29/03/2020,United States of America,Kansas,-36,-14,72,-20,-30,9
29/03/2020,United States of America,Kentucky,-37,-11,68,-34,-34,9
29/03/2020,United States of America,Louisiana,-45,-16,-18,-49,-35,11
29/03/2020,United States of America,Maine,-50,-22,-24,-56,-31,10
29/03/2020,United States of America,Maryland,-45,-25,29,-51,-39,13
29/03/2020,United States of America,Massachusetts,-59,-36,-56,-73,-42,16
29/03/2020,United States of America,Michigan,-58,-28,15,-55,-43,12
29/03/2020,United States of America,Minnesota,-58,-35,-16,-64,-38,14
29/03/2020,United States of America,Mississippi,-32,-7,27,-29,-30,9
29/03/2020,United States of America,Missouri,-38,-12,73,-34,-32,9
29/03/2020,United States of America,Montana,-51,-25,28,-37,-37,10
29/03/2020,United States of America,Nebraska,-34,-9,109,-18,-24,8
29/03/2020,United States of America,Nevada,-47,-23,-38,-62,-52,14
29/03/2020,United States of America,New Hampshire,-58,-35,-63,-63,-38,13
29/03/2020,United States of America,New Jersey,-59,-33,-36,-70,-44,16
29/03/2020,United States of America,New Mexico,-44,-18,-12,-31,-34,11
29/03/2020,United States of America,New York,-62,-32,-47,-68,-46,16
29/03/2020,United States of America,North Carolina,-40,-15,13,-51,-35,10
29/03/2020,United States of America,North Dakota,-44,-13,73,-36,-24,9
29/03/2020,United States of America,Ohio,-43,-19,117,-33,-35,10
29/03/2020,United States of America,Oklahoma,-36,-12,29,-23,-32,9
29/03/2020,United States of America,Oregon,-51,-25,-22,-47,-38,12
29/03/2020,United States of America,Pennsylvania,-50,-27,7,-52,-38,12
29/03/2020,United States of America,Rhode Island,-55,-30,-50,-67,-37,14
29/03/2020,United States of America,South Carolina,-38,-11,-4,-34,-34,9
29/03/2020,United States of America,South Dakota,-35,-3,126,-31,-25,8
29/03/2020,United States of America,Tennessee,-35,-9,35,-35,-34,8
29/03/2020,United States of America,Texas,-45,-23,-27,-47,-36,13
29/03/2020,United States of America,Utah,-41,-14,26,-44,-40,10
29/03/2020,United States of America,Vermont,-62,-42,-55,-71,-43,13
29/03/2020,United States of America,Virginia,-39,-16,46,-50,-36,11
29/03/2020,United States of America,Washington,-48,-26,-11,-56,-41,13
29/03/2020,United States of America,West Virginia,-38,-16,52,-31,-33,8
29/03/2020,United States of America,Wisconsin,-55,-30,-12,-50,-34,13
29/03/2020,United States of America,Wyoming,-37,-13,29,-14,-29,8
29/03/2020,Uruguay,Total,-75,-45,-79,-71,-35,22
29/03/2020,Uruguay,Artigas Department,-60,-45,-71,-77,-24,-3
29/03/2020,Uruguay,Canelones Department,-74,-49,-77,-75,-31,20
29/03/2020,Uruguay,Cerro Largo Department,-74,-43,-76,-73,-28,13
29/03/2020,Uruguay,Colonia Department,-78,-51,-84,-90,-38,21
29/03/2020,Uruguay,Durazno Department,-68,-39,-68,-79,-21,-2
29/03/2020,Uruguay,Flores Department,-83,-38,-72,,-20,
29/03/2020,Uruguay,Florida Department,-63,-37,-78,-70,-23,13
29/03/2020,Uruguay,Lavalleja Department,-53,-35,-76,-69,-22,-2
29/03/2020,Uruguay,Maldonado Department,-87,-65,-88,-86,-56,24
29/03/2020,Uruguay,Montevideo Department,-73,-37,-72,-58,-37,23
29/03/2020,Uruguay,Paysandú Department,-68,-22,-75,-78,-23,18
29/03/2020,Uruguay,Rivera Department,-71,-33,-76,-67,-33,12
29/03/2020,Uruguay,Rocha Department,-89,-75,-89,-90,-41,9
29/03/2020,Uruguay,Río Negro Department,-72,-49,-82,-64,-27,-3
29/03/2020,Uruguay,Salto Department,-71,-49,-74,-68,-30,17
29/03/2020,Uruguay,San José Department,-60,-40,-78,-61,-23,19
29/03/2020,Uruguay,Soriano Department,-67,-52,-78,,-28,13
29/03/2020,Uruguay,Tacuarembó Department,-67,-43,-77,-76,-25,15
29/03/2020,Uruguay,Treinta y Tres Department,-60,-24,-75,-55,-20,
29/03/2020,Venezuela,Total,-62,-44,-57,-62,-25,16
29/03/2020,Vietnam,Total,-52,-29,-33,-49,-20,16
29/03/2020,Yemen,Total,-8,-1,-9,-9,-5,5
29/03/2020,South Africa,Total,-79,-60,-55,-80,-49,24
29/03/2020,Zambia,Total,-21,-8,-6,-24,0,10
29/03/2020,Zimbabwe,Total,-2,24,-4,-6,14,13
