Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
Queensland,Australia,-28.0167,153.4,3,3,2,3,4,2,2,2,2,3,4,6,6,4,2,2,3,3,2,4,4,4,5,4,3,3,3,2,3,2,2,3,4,4,7,6,4,2,3,3,2,2,3,3,3,2,2,3,2,4,4,3,5,5,3,4,2,2,2,4,3,2,3,4,4,3,6,6,6,6,7,7,6,6,8,8,6,5,3,2,4,2,5,4,2,3,6,4,2,2,3,4,3,3,4,3,3,5,5,4,3,4,4
South Australia,Australia,-34.9285,138.6007,2,2,4,6,4,3,3,3,3,4,4,3,2,2,4,5,4,3,4,5,2,5,7,3,2,2,3,2,2,3,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,3,1,6,4,3,4,3,2,2,2,4,3,3,1,3,5,4,2,3,4,3,4,4,3,2,3,5,5,3,3,3,3,5,5,2,4,4,2,4,3,1,3,4,3,1,3,1,4,7,6,2,2,3,2,3,5,2
Tasmania,Australia,-41.4545,145.9707,3,2,1,3,2,1,1,1,2,3,5,2,2,2,3,2,1,2,1,1,1,2,3,4,2,2,2,2,2,1,1,2,3,4,2,1,1,1,1,2,3,1,1,1,2,1,1,1,1,2,3,2,1,1,1,1,3,4,3,2,1,4,2,2,1,3,1,0,1,1,1,1,2,2,1,1,1,1,1,3,1,2,1,1,2,1,1,2,2,2,1,1,1,2,3,3,3,1,1,1,2,3,3
Victoria,Australia,-37.8136,144.9631,2,2,1,5,5,2,3,4,2,5,5,4,2,2,3,5,4,2,2,3,3,6,5,3,2,2,2,2,1,2,4,3,4,6,4,3,2,2,4,5,3,2,3,3,2,4,3,2,2,7,4,4,3,2,1,3,4,4,3,1,3,5,3,1,2,4,4,3,3,1,2,4,6,6,3,2,3,4,3,5,3,4,3,2,3,2,2,4,6,2,1,1,2,5,6,6,2,2,2,1,3,8,3
Western Australia,Australia,-31.9505,115.8605,5,6,7,5,4,4,3,5,7,5,5,4,4,4,5,4,4,5,5,4,6,5,4,4,4,4,4,4,4,6,5,5,5,6,5,3,2,2,5,6,5,5,4,4,4,4,5,5,6,3,3,5,3,3,5,4,5,8,6,3,6,7,4,3,2,4,3,3,5,4,4,5,6,4,3,3,5,5,3,3,4,6,4,4,4,2,4,5,3,3,4,3,5,3,4,4,5,4,3,2,2,3,2
,Austria,47.5162,14.5501,0,1,1,1,2,0,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,2,2,1,1,1,1,0,0,1,1,2,2,1,1,1,1,1,1
,Azerbaijan,40.1431,47.5769,1,1,3,2,2,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4,5,2,2,1,1,1,2,1,2,2,2,5,2,3,3,4,6,1,2,2,3,4,1,1,2,1,1,1,1,2,1,1,7,1,1,3,4,3,3,1,1,1,2,2,1,1,1,1,1,3,2,2,2,4,2,1,1,2,1,2,2,2,2,2,3,1,3,4,3,4,3,2,1,3,6,2,1,1,2,3
,Bahamas,25.0343,-77.3963,4,2,4,6,5,8,5,3,6,10,11,9,8,7,7,5,4,7,9,4,3,6,10,8,5,2,2,3,4,3,5,2,5,8,2,4,5,8,6,6,9,8,5,6,6,4,3,5,4,7,5,4,6,10,7,7,7,7,6,5,7,7,7,6,6,5,6,9,11,11,9,7,5,6,5,5,5,4,5,7,7,5,5,5,4,4,3,4,5,5,3,4,7,4,2,1,3,5,4,3,4,4,5
,Bahrain,26.0275,50.55,6,3,4,5,6,7,5,2,4,3,9,9,5,7,7,3,2,5,4,6,3,5,7,4,3,10,9,5,3,4,2,3,7,5,4,2,1,4,6,6,8,10,10,8,5,4,2,5,3,4,5,5,2,2,3,6,7,6,6,3,5,7,8,7,6,3,5,3,5,4,2,2,4,6,5,3,4,6,5,3,5,7,6,3,3,5,8,7,7,7,3,2,5,4,5,5,3,3,5,5,6,5,5
,Bangladesh,23.685,90.3563,1,1,3,1,2,2,2,1,2,2,3,3,2,1,1,1,1,1,2,3,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,3,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,4,4,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,3,3,2,2,2,3,3,2,2,2,2
