Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
Northern Territory,Australia,-12.4634,130.8456,7,7,6,6,6,6,7,6,6,6,6,11,7,9,9,9,8,11,11,6,6,7,6,6,6,6,7,9,8,7,6,7,6,6,6,8,8,13,6,6,7,6,6,8,11,14,6,6,11,9,9,8,9,6,11,8,6,6,7,6,6,6,6,6,6,10,6,6,6,9,12,7,9,12,7,12,13,13,13,8,7,6,11,6,6,8,13,6,13,13,7,13,7,12,9,6,9,9,6,8,12,7,6
Queensland,Australia,-28.0167,153.4,12,12,13,13,13,10,11,12,10,10,7,6,5,5,8,6,10,6,10,12,13,12,7,8,6,12,7,11,11,9,8,13,13,11,6,6,6,6,9,5,12,7,8,6,11,13,12,11,11,12,10,11,9,6,5,9,10,9,7,11,11,11,6,6,8,6,10,7,5,7,10,9,10,9,10,8,10,10,10,10,10,10,9,6,7,8,5,8,8,8,7,9,8,9,5,7,8,7,7,4,5,7,7
South Australia,Australia,-34.9285,138.6007,13,11,13,8,5,11,12,13,12,6,12,13,13,12,12,9,13,10,5,6,12,6,8,8,10,12,9,8,13,13,7,6,9,6,12,12,12,10,11,11,11,11,6,11,9,7,11,11,6,6,5,11,11,10,11,11,6,8,6,7,5,7,5,7,5,5,5,9,6,9,6,5,5,9,9,6,5,6,8,7,5,7,5,4,8,5,4,5,5,6,6,4,7,7,5,4,5,4,6,7,5,5,5
Tasmania,Australia,-41.4545,145.9707,6,6,9,6,10,12,6,10,10,6,6,10,12,12,8,7,9,10,7,5,7,5,5,6,7,6,6,6,8,12,11,6,8,8,9,9,10,10,10,10,5,5,7,7,5,6,9,10,7,5,9,5,8,9,5,7,6,5,7,5,5,8,8,5,5,5,8,5,5,7,8,6,5,6,5,5,7,5,5,4,5,6,6,6,5,5,4,4,4,4,4,6,4,4,4,4,5,4,5,5,4,4,3
Victoria,Australia,-37.8136,144.9631,12,12,11,12,5,8,7,7,12,8,6,9,13,11,10,9,11,9,8,5,10,5,6,8,8,10,7,7,12,12,11,6,11,6,11,10,11,10,10,5,5,9,8,11,7,5,6,10,5,5,5,7,10,10,5,6,5,7,7,9,6,5,5,5,5,5,6,6,8,9,8,7,5,6,8,8,8,5,5,6,4,6,4,4,4,7,5,6,4,5,6,5,4,6,4,4,5,4,4,6,5,3,4
Western Australia,Australia,-31.9505,115.8605,13,8,10,12,13,13,13,13,13,14,14,14,14,13,12,14,6,14,13,13,7,9,11,13,11,13,12,13,13,11,12,9,13,13,10,11,9,10,12,12,13,6,6,12,12,6,10,11,5,11,6,5,5,11,9,11,11,5,10,7,10,6,11,8,5,5,5,10,8,6,10,7,10,5,9,6,5,9,6,6,8,8,9,9,6,8,5,5,4,6,6,5,6,7,6,4,6,7,8,7,5,7,5
,Austria,47.5162,14.5501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,3,3,3,2,3,3,2,4,4,4,3,3,3,2,2,2,3,4,3,3,3,5,5,4,3,6,7,6,6,6,6,5,6
,Azerbaijan,40.1431,47.5769,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,3,2,2,2,2,2,3,3,2,4,2,3,3,4,3,5,3,4,4,3,4,4,5,4,3,5,5,5,3,4,3,3,3,3,3,3,3,3,3,3,5,5,3,5,5,4,4,6,3,5,3,5,3,5,4,3,4,6,4,3,4
,Bahamas,25.0343,-77.3963,5,5,6,5,6,6,5,5,6,5,5,6,5,5,6,5,6,5,5,6,6,5,4,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,5,5,7,7,7,8,8,7,7,8,8,8,8,8,7,7,7,8,9,8,6,8,7,8,9,9,8,8,7,8,8,8,8,8,9,9,9,10,11,10,10,10,10,10,10,11,11,10,11,9,10,10,10,10,10,10,10,10,6,10,11,11,10,8
,Bahrain,26.0275,50.55,5,3,5,5,4,5,5,5,4,4,4,5,5,5,4,5,6,5,5,5,5,5,4,6,6,6,6,6,4,5,6,5,6,6,4,6,5,5,7,4,7,7,6,6,7,7,7,4,4,8,4,7,8,8,5,5,6,8,9,8,9,9,9,9,9,9,9,9,8,9,9,9,8,5,5,9,9,9,10,9,8,7,9,8,7,4,5,5,10,10,10,11,11,6,9,10,6,6,7,10,5,5,5
,Bangladesh,23.685,90.3563,5,4,4,4,4,6,6,5,4,6,6,6,6,6,6,6,7,7,6,6,6,6,5,5,6,6,7,7,6,6,6,8,8,7,7,7,7,7,7,5,7,8,8,7,8,8,8,8,8,8,5,5,6,6,7,5,7,8,9,9,9,9,8,8,7,6,5,8,10,10,8,10,10,8,7,8,9,10,10,5,6,7,10,10,11,10,11,11,11,10,11,11,11,11,10,8,11,11,10,9,11,10,11
,Barbados,13.1939,-59.5432,8,8,8,9,6,7,7,8,8,6,9,9,9,8,8,7,7,8,8,9,8,8,6,7,9,6,6,5,10,10,10,10,8,8,7,7,9,10,10,10,10,9,10,10,8,6,6,7,11,9,11,10,11,10,10,8,12,12,11,10,6,10,10,8,10,11,13,11,13,8,11,13,12,6,8,8,12,8,8,12,12,11,12,11,8,11,11,13,10,12,7,10,6,7,6,7,6,12,8,8,7,7,6
,Belarus,53.7098,27.9534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,3,2,3,2,2,2,3,3,3,2,2,3,2,3,2,3,3,3,4,4,5,4,3,4,4,5
,Belgium,50.8333,4.0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,3,4,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,5,5,4,3,5,6,5,5
,Benin,9.3077,2.3158,10,9,10,9,8,9,10,9,9,8,10,6,10,10,10,10,11,11,10,10,9,10,7,11,11,6,11,8,9,11,7,9,11,11,10,9,12,11,10,10,9,12,10,11,11,12,11,8,12,9,12,12,12,11,7,12,12,11,12,7,8,9,8,6,11,7,11,11,12,7,6,8,13,6,6,9,5,12,7,11,5,7,6,6,7,9,12,10,9,6,5,6,7,9,7,10,11,6,8,8,7,8,6
,Bhutan,27.5142,90.4336,4,4,3,3,4,5,5,5,5,6,6,6,6,6,6,6,6,6,5,6,5,6,5,5,6,6,6,5,6,6,6,7,7,7,6,5,7,7,7,7,7,8,8,8,5,6,7,7,7,6,5,7,4,8,6,7,4,8,8,9,9,6,8,8,9,7,7,9,9,9,9,10,10,5,8,9,9,9,6,8,8,6,7,11,11,11,12,8,12,12,12,10,10,12,10,9,9,8,10,9,12,10,8
,Bolivia,-16.2902,-63.5887,7,7,6,6,10,6,8,6,7,8,9,6,7,6,8,9,12,7,8,9,9,9,6,6,8,6,14,10,6,7,9,7,6,6,8,6,6,11,6,7,6,7,6,8,6,8,14,12,7,8,6,6,6,6,7,14,9,6,8,10,14,9,13,13,13,14,13,13,13,7,12,13,12,13,9,6,6,7,6,6,6,6,9,11,8,8,7,7,10,6,6,6,10,6,6,8,7,9,6,7,11,11,11
,Bosnia and Herzegovina,43.9159,17.6791,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,3,2,3,2,2,3,3,3,2,3,3,3,3,3,2,3,2,2,4,3,3,2,2,4,3,3,2,3,4,3,5,5,3,3,5,5,5,5,5,5,3,3,2,3,3,3,5,5,4,3,3,5,5,5,4,7,7,7,7,7,6,8
,Brazil,-14.235,-51.9253,6,8,6,6,6,7,7,6,8,8,6,6,8,6,11,11,11,10,7,8,10,8,6,6,6,6,7,6,6,7,6,8,6,7,10,7,11,6,7,6,6,6,13,6,6,12,11,7,8,7,6,6,6,7,8,6,6,6,8,11,6,7,14,6,10,11,6,6,8,6,6,6,6,12,13,12,9,13,13,13,6,7,11,6,6,11,9,6,6,9,10,12,12,10,10,10,10,11,7,11,8,7,6
,Brunei,4.5353,114.7277,6,7,6,6,6,9,7,6,7,8,6,6,6,6,8,8,8,9,8,7,9,9,9,8,8,7,8,11,9,6,6,6,6,6,7,6,6,8,6,6,6,6,7,8,12,11,9,9,10,10,7,8,13,8,6,13,6,6,6,6,6,6,6,6,6,6,6,8,8,14,11,13,14,12,11,8,8,12,6,10,8,9,7,11,10,7,12,6,10,12,6,13,12,6,12,8,8,6,6,5,9,7,12
,Bulgaria,42.7339,25.4858,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,3,3,3,3,3,2,2,3,3,4,2,2,3,2,3,2,4,3,3,2,3,4,3,3,3,3,4,4,3,3,3,3,5,5,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,5,3,3,3,5,3,3,5,7,8,7,7,5,8
,Burkina Faso,12.2383,-1.5616,10,9,9,9,8,6,6,9,9,7,9,8,9,9,9,10,10,9,9,8,9,6,10,9,10,9,9,7,8,8,10,11,8,9,7,6,11,11,9,9,8,7,6,6,11,11,11,11,11,11,12,11,10,12,11,12,12,12,12,12,12,10,9,11,12,12,12,13,7,6,5,12,13,13,6,5,10,13,6,7,6,12,7,6,12,8,9,12,11,9,6,7,5,12,12,12,13,10,5,5,6,7,13
,Cabo Verde,16.5388,-23.0418,5,5,5,7,7,8,6,4,6,6,6,5,8,6,5,5,8,7,7,7,8,8,5,8,6,5,6,9,6,9,9,9,9,9,9,9,10,8,9,6,7,8,9,10,10,6,7,5,5,10,10,10,6,5,5,10,7,10,9,10,11,6,11,11,12,12,12,10,9,11,11,12,12,11,9,12,10,8,6,6,10,12,12,6,6,6,8,9,8,6,11,6,7,5,12,11,8,11,13,13,13,13,8
,Cambodia,11.55,104.9167,5,9,5,6,9,8,9,7,9,8,5,7,8,10,10,10,11,10,9,10,10,10,9,7,9,6,7,7,8,8,6,10,9,11,7,7,8,6,7,6,6,11,10,9,10,12,10,7,11,12,12,12,12,11,12,12,12,10,12,12,11,7,7,9,11,10,12,9,13,13,13,12,12,11,7,11,9,12,6,6,12,13,10,10,8,7,7,12,12,10,6,11,13,12,9,9,10,7,12,9,7,10,13
,Cameroon,3.8480000000000003,11.5021,7,6,7,8,9,9,10,9,9,7,9,8,9,11,10,9,11,9,9,8,11,10,10,10,10,8,11,11,7,7,7,10,8,7,9,9,10,6,9,8,12,13,12,10,9,9,10,12,10,10,7,8,8,11,7,12,10,10,7,10,10,9,7,7,9,6,9,7,9,11,8,8,6,12,10,8,8,6,7,9,7,10,8,9,7,9,6,13,9,10,7,9,9,8,7,8,9,10,8,6,9,6,9
Alberta,Canada,53.9333,-116.5765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,3,3,3,3,3,4,2,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,3,3,3,3
British Columbia,Canada,49.2827,-123.1207,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,5,5,5
Grand Princess,Canada,37.6489,-122.6655,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,2,3,2,2,3,2,3,3,3,3,3,3,4,3,4,4,3,4,3,3,3,4,4,4,4,4,3,3,3,4,5,5,5,4,4,5,3,5,5,5,3,4,4,3,3,3,5,5,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,4,5,5,6,7,6,3,3,3,5,4,5,6,4
Manitoba,Canada,53.7609,-98.8139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,3,3,2,3,3,3,3,4,2,3,2,3,3,3,3,4,3,3,2,2,2,3,2,2,3,2,3,2,2
New Brunswick,Canada,46.5653,-66.4619,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,3,3,2,2,3,3,3,4,3,3,4,4,3,3,4,3,3,4,5,4,4,3,3,3,4,5,3,4,4,4,2,4
Newfoundland and Labrador,Canada,53.1355,-57.6604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,3,3,2,3,2,2,2,3,4,3,3,3,3,3,4,2,2,2,2,3,2
Nova Scotia,Canada,44.681999999999995,-63.7443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2,2,3,2,2,3,3,2,3,3,4,4,3,4,4,4,3,4,4,4,3,5,3,2,4,5,4,3,3,3,4,3,5,4,4,4,5,3,4
Ontario,Canada,51.2538,-85.3232,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,4,3,3,2,4,4,4,3,3,4,4,4,3,2,3,3,3,3,3,3,3
Prince Edward Island,Canada,46.5107,-63.4168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,3,3,3,3,2,4,4,4,3,4,3,4,3,4,3,2,4,5,4,3,3,3,4,3,5,4,4,4,5,3,4
Quebec,Canada,52.9399,-73.5491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,3,3,2,2,3,2,2,3,3,2,2,2,3,3,3,3,4,3,2,2,2,2,2,3,4,3,3,3
Saskatchewan,Canada,52.9399,-106.4509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,3,3,3,2,2,3,3,4,3,3,2,2,2,2,3,2,2,2,3,2,3,3,3
,Central African Republic,6.6111,20.9394,6,6,6,10,8,7,10,10,10,6,11,11,11,12,12,11,8,10,12,11,10,10,9,9,9,11,12,11,12,9,12,10,12,9,12,12,9,9,11,6,13,9,8,9,13,7,8,13,6,9,8,11,11,12,13,12,9,9,13,8,12,9,11,13,13,12,6,8,13,13,8,6,6,7,14,7,7,6,6,8,6,8,6,6,8,5,9,8,10,7,7,5,7,7,9,9,9,10,13,6,6,5,5
,Chad,15.4542,18.7322,9,8,9,8,8,7,8,7,7,6,5,6,7,8,9,9,9,6,9,9,9,9,9,8,9,9,10,9,10,9,8,10,6,10,9,7,9,10,9,9,10,8,6,10,10,11,9,8,8,10,11,11,11,11,11,10,11,11,11,6,12,5,9,9,7,10,6,11,11,12,10,6,5,12,9,12,11,10,12,9,6,6,9,9,11,10,12,12,11,9,10,9,5,13,9,11,10,12,8,7,7,7,7
,Chile,-35.6751,-71.543,13,13,13,14,11,7,12,7,6,12,12,13,13,13,13,13,14,13,10,11,13,13,13,12,11,13,12,12,13,11,12,11,12,12,12,11,11,12,12,12,12,12,12,8,11,11,11,11,10,11,11,11,11,11,11,6,10,8,10,10,10,10,10,10,10,9,8,6,8,8,9,5,8,6,5,9,9,9,8,8,9,5,7,8,5,7,8,5,8,6,8,8,7,7,6,7,7,6,6,7,7,6,4
Anhui,China,31.8257,117.2264,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,4,4,3,3,3,3,3,3,2,4,4,5,5,5,5,5,5,5,3,3,5,5,4,3,5,3,3,3,3,5,5,4,6,4,6,4,4,4,4,4,4,4,4,6,4,4,7,4,7,6,4,5,4,4,4,7,6,5,6,7,4,7,6,4,4,4,5,4,4,4,4,4,4,5,8,7,6,5,5,6,4,8,6,4,7
Beijing,China,40.1824,116.4142,2,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,2,3,3,3,2,2,4,4,3,3,3,3,4,3,3,4,4,3,5,4,4,3,3,4,4,3,4,4,5,4,5,3,4,4,4,5,5,5,5,3,6,4,5,4,4,3,5,6,6,5,6,4,6,3,4,5,6
Chongqing,China,30.0572,107.874,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,5,3,3,4,4,4,3,3,3,3,3,3,5,6,4,4,4,4,5,5,3,5,4,5,4,5,5,4,4,4,4,6,5,4,4,4,5,4,4,4,6,6,4,7,7,4,4,4,4,4,7,5,4,6,4,5,6,6,4,4,4,8,5,4,5,5,7,6,5,9,4,5,5,7,5,5,4,4,4,4,4,6,4,9,5,4,9
Fujian,China,26.0789,117.9874,4,5,4,4,4,5,4,6,5,5,5,4,5,5,4,4,4,5,4,6,4,5,4,4,4,4,4,4,6,7,7,7,6,5,5,5,5,4,6,6,7,5,5,5,4,4,5,8,8,7,8,8,7,9,8,8,8,5,5,5,5,5,5,5,5,5,6,5,5,8,8,5,6,5,10,7,6,5,5,5,8,9,5,5,10,5,7,5,5,5,7,7,5,5,5,5,5,7,11,11,11,5,9
Gansu,China,37.8099,101.0583,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,4,4,4,3,4,4,5,4,3,3,5,5,4,6,5,5,3,6,5,4,4,5,6,6,6,6,4,4,6,5,5,7,6,4,5,7,6,7,6,7,7,7,6,5,5,7,4,5,4,4,5,4,5,5,7,5,5,8,9,9,9,6
Guangdong,China,23.3417,113.4244,6,4,6,5,5,4,5,6,4,4,4,6,6,5,5,5,6,5,4,5,4,5,5,5,4,4,6,6,6,8,8,5,5,5,5,6,5,5,7,5,7,5,6,5,4,5,5,7,9,8,6,8,9,9,6,7,8,5,5,7,9,6,6,5,5,5,6,5,5,9,6,5,5,9,6,6,5,5,5,6,5,7,8,6,5,6,5,6,5,5,5,5,6,5,5,5,5,6,10,10,7,5,11
Guangxi,China,23.8298,108.7881,4,4,4,4,5,5,5,5,4,4,4,6,4,4,4,4,5,5,4,4,4,4,4,4,4,6,4,5,8,8,7,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,7,6,7,5,5,5,8,8,8,6,5,5,5,5,5,5,5,5,5,5,6,7,5,7,5,5,5,9,5,5,5,5,5,7,5,7,9,9,5,6,6,5,5,5,5,5,5,5,5,5,5,9,8,12,5,5,7
