Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
,Bhutan,27.5142,90.4336,0,0,0,-1,-3,-2,0,0,-3,-3,0,0,0,0,0,0,2,-1,-3,-1,0,-2,-3,-4,-4,-4,-3,-2,-3,-3,-1,-4,-4,-2,-2,-4,-4,-3,-5,-4,-2,0,0,1,1,1,3,2,2,1,0,1,0,-1,-1,0,-2,-1,0,0,2,0,0,0,0,-1,0,0,1,1,1,2,4,1,0,0,1,1,1,1,0,0,0,2,2,4,5,4,2,4,4,2,1,3,4,3,3,4,3,2,3,3,3
,Bolivia,-16.2902,-63.5887,21,21,22,23,23,24,22,22,23,23,23,23,22,22,22,23,22,23,23,23,24,22,22,23,22,23,24,22,21,22,20,21,23,24,23,23,24,22,24,22,22,21,21,22,22,23,24,25,25,23,23,21,21,21,16,22,22,21,19,18,20,20,21,23,22,23,23,23,23,23,23,24,22,23,23,23,22,23,23,22,20,20,22,22,23,23,21,21,22,22,22,23,23,20,19,23,25,21,20,19,16,17,19
,Bosnia and Herzegovina,43.9159,17.6791,-9,-4,-3,-7,-11,-11,-9,-7,-5,-4,-8,-6,-4,-4,-4,-6,-4,-7,-8,-10,-4,-5,-4,-2,-3,-3,-3,-3,-6,-3,-2,1,1,1,-7,-11,-8,-8,-6,-3,0,-3,-5,-1,-4,-5,-2,-1,-4,-5,-7,-8,-2,0,-1,0,-7,-6,-9,-5,0,0,-3,-6,-2,-3,-5,-6,-5,-4,0,2,-1,-4,-6,-3,-1,-2,0,-1,-2,-11,-12,-11,-7,-4,-5,-3,-4,-7,-10,-10,-6,-3,0,0,-2,-2,-1,1,0,0,1
,Brazil,-14.235,-51.9253,21,20,21,22,21,21,21,21,22,20,22,21,21,20,21,22,22,22,21,22,22,21,21,22,21,21,21,22,20,19,20,22,22,21,21,20,20,21,20,21,20,18,20,20,21,21,20,20,22,22,21,21,20,20,21,21,20,20,21,21,20,21,20,20,21,21,20,21,22,20,21,21,20,21,19,19,19,21,21,22,20,20,21,21,20,20,21,20,21,22,20,21,21,22,22,21,21,22,20,22,21,21,20
,Brunei,4.5353,114.7277,22,23,22,23,23,23,23,23,23,22,22,22,22,22,23,22,22,23,23,23,22,22,22,23,23,23,23,23,23,21,22,23,24,24,23,22,21,21,21,22,22,22,23,23,23,23,23,22,23,22,23,22,22,24,23,24,22,23,23,23,24,24,22,23,22,22,21,22,22,22,23,23,24,22,24,22,22,23,23,22,22,22,23,23,23,23,23,23,22,22,22,22,23,23,23,23,23,22,22,23,23,23,23
,Bulgaria,42.7339,25.4858,-7,-6,0,-3,-7,-8,-7,-6,-4,0,-1,-2,-2,-1,-2,-4,-6,-5,-6,-6,-4,-4,-5,-2,0,0,-1,0,-3,-4,3,3,3,2,-3,-8,-7,-12,-10,-5,-1,-2,-3,-3,-1,-3,-4,-1,1,0,-2,-3,-3,2,-1,2,4,-3,-4,-3,0,4,4,0,-1,1,4,2,1,0,3,4,5,0,-7,-4,-1,-2,2,2,5,-3,-4,-6,-3,-2,0,0,2,0,-5,-4,-3,0,0,-1,-2,-1,1,3,4,2,1
,Burkina Faso,12.2383,-1.5616,14,11,10,12,13,16,18,20,18,20,20,19,17,18,18,18,16,16,16,18,20,21,20,18,18,16,17,16,16,17,18,16,15,15,15,17,16,15,17,21,22,22,20,16,16,17,17,18,18,18,20,21,24,21,20,18,19,20,19,19,19,20,21,22,20,18,19,22,23,24,24,21,23,23,25,25,26,25,27,26,23,23,25,25,24,24,24,27,24,24,24,24,23,27,28,26,25,25,27,25,24,27,28
,Cabo Verde,16.5388,-23.0418,22,21,21,21,20,20,20,19,18,19,19,19,20,20,21,20,21,20,21,20,20,20,20,21,21,21,21,21,20,20,22,22,21,21,21,20,21,21,21,21,20,20,21,20,22,22,22,21,21,22,21,20,20,20,19,20,22,22,22,22,21,21,22,22,21,21,21,21,21,21,21,22,22,22,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,22,21,21,21,21,22,22,22,22,22,22
,Cambodia,11.55,104.9167,22,23,21,20,19,21,23,22,23,23,23,22,20,20,20,20,21,21,21,21,21,22,21,21,22,22,20,21,22,20,19,19,18,19,20,19,19,18,23,23,21,23,22,23,22,22,23,22,21,21,21,22,21,21,19,21,22,21,22,22,23,23,23,23,22,23,24,25,24,25,23,24,24,23,24,23,24,24,23,22,23,24,24,23,23,24,25,25,24,25,25,25,24,24,25,25,24,24,24,24,25,24,23
,Cameroon,3.8480000000000003,11.5021,20,17,17,17,18,17,19,19,19,19,19,18,20,21,20,20,19,19,18,19,18,18,15,13,13,16,17,19,19,20,20,20,21,20,20,19,17,19,20,19,18,20,17,19,19,20,21,20,19,20,21,21,21,21,20,20,19,20,21,21,21,20,21,20,21,21,19,20,21,22,20,20,20,20,20,21,21,21,20,19,19,18,20,19,19,20,19,21,19,20,21,19,21,20,20,19,19,20,20,19,20,19,19
Alberta,Canada,53.9333,-116.5765,-6,-7,-11,-6,-8,-12,-14,-16,-23,-23,-25,-31,-31,-36,-38,-33,-31,-32,-23,-4,-9,-5,-8,-3,-4,-9,-6,-10,-8,-4,-4,-2,-10,-17,-14,-7,-5,-8,-10,-7,-7,-3,-15,-11,-9,-14,-11,-21,-20,-13,-8,-5,-4,-12,-14,-11,-6,-2,-3,-5,-11,-2,-3,-5,-9,-10,-17,-19,-12,-8,-5,-9,-23,-23,-24,-12,-7,-13,-13,-15,-4,-8,-5,-11,-15,-7,-4,-14,-11,-13,-16,-19,-23,-18,-18,-14,-12,-5,-7,-2,-4,-11,-11
British Columbia,Canada,49.2827,-123.1207,7,3,3,4,5,2,4,3,0,0,3,1,-6,-6,-6,-2,-1,1,4,5,6,5,5,8,5,6,5,5,6,4,5,7,0,0,0,0,3,2,2,0,1,2,3,3,3,3,2,0,0,0,0,1,4,3,3,2,3,5,4,3,1,2,4,3,5,1,0,0,0,2,4,1,2,-1,-2,0,1,2,3,3,3,4,4,3,3,3,5,6,6,5,3,2,2,3,2,3,2,4,3,5,6,7,4
Grand Princess,Canada,37.6489,-122.6655,11,11,10,11,10,9,9,10,10,9,10,9,9,9,8,10,8,8,9,10,11,11,10,11,11,12,11,11,10,12,11,10,11,7,8,9,9,9,10,10,11,12,10,9,9,9,10,10,10,9,10,11,11,10,9,11,11,11,11,10,9,11,11,11,10,11,9,8,10,11,12,10,10,10,9,7,7,9,9,10,10,11,10,10,8,8,9,10,11,11,11,10,9,9,9,11,8,8,10,11,11,10,10
Manitoba,Canada,53.7609,-98.8139,-12,-15,-13,-15,-11,-18,-21,-29,-18,-23,-28,-17,-13,-19,-28,-30,-26,-19,-24,-22,-14,-11,-17,-13,-12,-10,-15,-14,-14,-12,-8,-8,-11,-21,-25,-22,-30,-28,-21,-16,-19,-10,-32,-28,-23,-22,-28,-21,-26,-26,-18,-8,-7,-3,-10,-19,-24,-18,-18,-10,-5,-17,-13,-13,-11,-11,-16,-21,-22,-24,-17,-7,-15,-21,-20,-13,-22,-26,-24,-25,-22,-12,-10,-7,-19,-10,-6,-9,-17,-10,-3,-7,-9,-11,-14,-14,-8,-1,-5,-9,-11,-6,-14
New Brunswick,Canada,46.5653,-66.4619,-4,-4,-5,-2,-3,-12,-11,-12,-11,-16,-3,-6,-17,-15,-11,-11,-17,-22,-19,-12,-21,-18,-10,-8,-10,-6,-2,-9,-14,-16,-13,-14,-7,-9,-6,-9,-15,-7,-13,-21,-14,-12,-5,-5,-21,-24,-14,-8,-21,-8,-22,-23,-13,-8,-8,-4,-4,-4,-7,-14,-11,-13,-3,0,-2,-10,-12,-12,-6,-9,-6,-11,-11,0,-10,-14,-9,-4,-10,0,-5,-15,-16,-4,-7,-6,-3,-3,-5,-3,-4,-1,0,0,-1,-3,0,-5,-6,-7,-3,-2,-2
Newfoundland and Labrador,Canada,53.1355,-57.6604,-14,-4,-3,-9,-14,-17,-23,-17,-16,-24,-17,-20,-23,-24,-22,-24,-29,-25,-25,-24,-25,-22,-13,-19,-20,-14,-14,-18,-19,-21,-16,-21,-17,-11,-7,-13,-20,-21,-21,-26,-17,-19,-16,-14,-28,-24,-20,-13,-25,-17,-23,-25,-19,-9,-22,-11,-20,-25,-23,-9,-17,-18,-13,-12,-5,-10,-15,-22,-26,-26,-20,-17,-18,-6,-8,-21,-15,-5,-16,-17,-6,-16,-14,-9,-13,-12,-5,-1,-12,-15,-9,-1,0,-4,-8,-12,-12,-7,-10,-11,-6,-4,-4
Nova Scotia,Canada,44.681999999999995,-63.7443,1,0,-1,0,0,-6,-6,-4,-5,-13,2,0,-6,-4,-4,-6,-8,-15,-13,-5,-13,-15,-8,-4,-7,-1,0,-3,-5,-12,-8,-7,-2,-5,-2,0,-8,-3,-6,-12,-7,-1,0,-2,-11,-18,-8,-1,-12,-3,-10,-15,-9,-4,-1,-1,0,0,-2,-4,-3,-4,0,2,0,-3,-6,-7,-2,-3,2,-3,-2,1,-4,-7,-6,0,-2,1,4,-8,-8,-1,-3,0,0,0,-2,0,-1,0,4,5,1,-2,0,0,0,-3,0,0,0
Ontario,Canada,51.2538,-85.3232,-21,-16,-13,-18,-19,-15,-17,-27,-28,-16,-28,-30,-28,-23,-19,-27,-29,-19,-22,-19,-12,-5,-15,-20,-10,-6,-11,-15,-18,-21,-14,-5,-7,-9,-18,-21,-30,-35,-30,-16,-14,-13,-27,-35,-32,-14,-24,-25,-17,-28,-22,-11,-4,-12,-13,-15,-24,-23,-20,-23,-16,-3,-12,-9,-20,-24,-11,-22,-22,-23,-20,-14,-2,-18,-26,-10,-9,-20,-15,-21,-20,-18,-3,-10,0,-18,-11,-2,-6,-13,-13,-5,-8,-4,-3,-5,-8,-10,-3,-6,-10,-11,-8
Prince Edward Island,Canada,46.5107,-63.4168,0,-1,-2,0,0,-4,-7,-6,-3,-10,0,-3,-6,-6,-6,-8,-8,-14,-15,-4,-13,-15,-8,-4,-11,-5,0,-4,-5,-11,-9,-11,-3,-7,-4,-3,-12,-5,-8,-15,-11,-9,-3,-4,-13,-20,-10,-5,-13,-6,-16,-19,-10,-5,-4,-1,-4,-3,-3,-7,-3,-5,-2,0,0,-4,-6,-7,-6,-8,-2,-5,-8,0,-6,-7,-8,-1,-6,0,0,-8,-8,-2,-2,-2,-1,-1,-4,-1,-1,0,0,0,-1,-1,0,-1,-1,-3,-1,0,0
Quebec,Canada,52.9399,-73.5491,-11,-13,-13,-17,-20,-25,-17,-16,-30,-27,-18,-30,-28,-29,-20,-30,-33,-31,-32,-23,-22,-15,-10,-24,-20,-6,-17,-25,-27,-24,-20,-15,-9,-11,-12,-25,-20,-34,-33,-26,-24,-18,-21,-34,-38,-30,-11,-33,-23,-23,-34,-25,-8,-24,-17,-18,-28,-24,-15,-21,-22,-19,-13,-18,-24,-27,-26,-31,-37,-23,-24,-27,-16,-9,-27,-27,-11,-23,-28,-15,-27,-29,-16,-7,-16,-9,-20,-20,-10,-4,-12,-8,-4,1,0,0,-6,-14,-17,-13,-11,-9,-11
Saskatchewan,Canada,52.9399,-106.4509,-10,-8,-9,-12,-11,-12,-26,-26,-22,-32,-27,-19,-30,-32,-36,-39,-25,-21,-29,-25,-8,-13,-10,-9,-7,-7,-11,-7,-8,-8,-10,-8,-6,-24,-24,-16,-22,-20,-13,-15,-13,-9,-33,-34,-13,-27,-22,-20,-31,-33,-16,-9,-9,-9,-15,-20,-16,-14,-11,-7,-14,-11,-13,-8,-9,-6,-10,-18,-24,-17,-9,-11,-20,-21,-14,-19,-14,-24,-21,-22,-17,-12,-10,-5,-13,-15,-4,-3,-10,-7,-10,-20,-21,-25,-19,-14,-6,-13,-5,-16,-5,-10,-12
,Central African Republic,6.6111,20.9394,18,17,17,19,18,19,20,21,19,16,15,14,15,17,18,17,18,18,17,16,16,15,14,14,15,15,16,16,16,18,16,16,17,18,17,18,22,20,21,21,19,16,16,18,19,19,20,23,21,23,20,21,20,19,19,22,19,20,24,24,21,21,20,20,22,22,22,22,25,24,24,21,18,23,22,23,22,23,23,21,21,22,24,21,22,21,24,20,21,23,23,23,27,21,23,22,23,23,21,20,20,20,21
,Chad,15.4542,18.7322,11,9,11,11,11,14,14,14,14,15,16,16,17,16,15,14,14,13,13,13,13,13,11,12,12,10,12,14,13,14,12,11,11,14,16,15,16,16,16,15,13,12,12,12,12,15,16,14,15,15,15,17,16,16,13,14,15,19,23,22,21,20,22,23,23,25,23,25,23,23,16,15,15,14,15,17,21,21,20,22,22,21,22,23,24,27,24,26,25,24,26,26,25,27,27,28,27,25,25,25,25,24,23
,Chile,-35.6751,-71.543,12,10,13,12,9,8,11,10,9,7,8,10,10,12,9,7,12,12,15,12,12,13,13,14,11,14,14,14,10,11,11,13,12,7,9,7,7,6,8,12,12,13,11,8,7,8,9,11,7,9,8,11,10,9,8,7,8,10,10,11,12,11,10,10,11,11,10,9,10,11,11,11,11,9,6,6,8,7,7,6,8,8,8,8,9,10,11,10,8,5,5,5,4,7,9,6,4,4,7,6,6,9,4
Anhui,China,31.8257,117.2264,3,5,6,7,8,4,1,1,3,3,0,0,0,0,0,0,0,0,0,2,4,5,5,3,2,1,0,0,0,0,0,3,3,2,3,3,3,2,0,2,7,4,8,12,2,-4,-3,-1,4,3,5,3,5,13,15,8,4,7,6,6,4,4,5,3,6,6,9,10,7,5,9,8,4,4,9,9,10,12,8,13,15,9,10,14,17,7,2,5,4,8,8,8,8,9,6,8,7,8,10,12,7,5,5
