Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20
Queensland,Australia,-28.0167,153.4,9,13,0,8,7,8,25,2,7,6,57,87,42,96,92,89,92,100,93,74,18,5,36,45,66,36,32,26,9,11,8,11,6,35,80,85,100,99,99,100,87,92,99,100,56,56,23,18,17,26,20,35,41,42,96,89,62,81,37,30,5,3,21,63,39,93,44,39,98,99,27,70,35,12,55,17,13,9,2,1,5,6,37,41,33,20,78,54,51,6,15,11,14,2,41,11,3,30,51,50,80,43,2
South Australia,Australia,-34.9285,138.6007,3,6,0,15,80,2,5,1,3,67,6,4,4,1,1,6,3,5,46,63,6,10,68,10,6,6,3,3,6,7,82,94,7,13,4,6,12,12,5,13,9,4,8,9,7,10,6,5,17,4,4,5,4,4,2,5,12,4,9,2,25,14,10,24,3,15,1,4,2,2,7,16,9,1,4,1,3,8,2,3,2,4,0,19,3,1,1,0,8,5,5,10,3,85,82,48,15,11,1,5,5,10,2
Tasmania,Australia,-41.4545,145.9707,10,15,0,10,7,2,10,5,7,81,26,11,6,6,38,55,7,20,24,79,40,75,95,65,47,56,12,32,19,6,27,74,81,66,6,5,9,31,17,7,46,78,40,25,53,53,6,3,75,82,3,18,6,10,4,16,82,48,27,8,74,82,11,30,93,5,17,15,7,2,5,8,91,11,11,28,9,39,86,86,5,28,4,2,9,3,17,8,90,37,13,10,93,72,98,90,15,2,5,6,68,80,23
Victoria,Australia,-37.8136,144.9631,2,6,0,6,41,84,19,4,4,77,12,12,6,1,53,33,10,23,71,100,63,49,97,3,5,7,4,4,6,5,28,93,56,23,6,5,37,40,4,21,71,23,21,10,70,55,19,4,93,95,24,27,6,16,62,46,52,5,24,2,10,65,5,80,100,25,7,5,4,3,5,9,57,6,8,3,1,8,15,8,5,19,5,1,5,3,4,1,50,4,4,2,99,44,100,83,12,6,11,6,23,83,20
Western Australia,Australia,-31.9505,115.8605,3,9,19,7,5,1,5,2,3,2,5,4,5,3,1,5,11,8,0,3,6,3,5,4,3,6,5,3,13,25,7,5,3,4,19,10,12,15,20,5,5,8,9,14,3,10,6,3,9,47,20,12,51,31,72,45,62,67,56,6,6,1,5,1,2,12,14,5,7,2,6,7,4,81,56,9,76,13,1,1,15,6,3,1,8,6,10,27,11,5,3,2,7,1,0,4,3,2,1,8,3,5,8
,Austria,47.5162,14.5501,8,10,2,77,63,2,19,5,3,16,51,5,2,0,1,5,7,76,53,34,3,0,3,2,6,21,35,77,40,37,56,18,93,97,81,66,4,5,5,4,84,73,39,20,75,15,8,15,60,56,24,35,5,31,93,60,82,24,64,6,51,63,82,32,5,81,52,25,56,57,75,10,77,12,6,0,41,19,4,53,89,38,15,13,14,11,8,4,68,59,18,11,3,9,13,0,1,0,1,2,3,7,16
,Azerbaijan,40.1431,47.5769,8,37,91,87,7,0,9,4,25,12,22,9,40,0,28,93,38,9,83,46,11,3,3,7,4,3,5,1,5,3,5,97,37,2,9,4,3,5,54,70,17,6,4,5,19,9,6,64,9,3,20,10,13,15,8,9,5,2,2,2,13,99,11,5,4,6,2,4,8,7,6,3,4,16,83,82,84,82,56,5,92,28,7,4,16,1,2,6,7,23,21,50,93,5,100,6,87,99,48,6,8,8,28
,Bahamas,25.0343,-77.3963,60,22,12,13,18,23,9,17,9,14,44,23,38,26,16,8,7,51,12,11,66,53,56,20,35,23,21,34,43,33,66,15,47,56,9,9,11,19,38,77,76,28,25,17,13,24,45,28,19,20,19,18,51,56,18,21,12,40,87,13,17,9,14,16,10,10,43,12,20,26,17,28,26,22,22,10,9,16,13,12,12,13,18,15,15,22,22,10,9,9,11,11,38,4,5,10,12,47,28,16,12,11,28
,Bahrain,26.0275,50.55,5,6,2,19,92,2,9,3,56,83,22,5,2,6,10,4,4,4,0,3,6,5,70,2,3,5,2,1,6,5,6,9,5,3,6,6,5,5,2,12,6,4,2,3,4,4,5,7,9,4,6,9,8,7,4,5,10,3,4,2,5,3,5,1,2,1,1,4,6,4,7,2,2,8,7,2,5,8,16,8,82,20,5,3,7,6,5,14,17,4,3,3,3,8,3,3,1,1,5,10,8,10,15
,Bangladesh,23.685,90.3563,4,16,83,34,37,2,4,3,61,5,7,3,4,0,4,4,5,5,1,7,3,2,4,3,3,4,5,4,16,67,16,4,3,3,6,5,3,5,5,7,6,3,2,5,4,5,6,4,7,4,4,5,3,6,4,69,69,4,4,2,5,5,30,16,26,32,61,16,6,3,6,9,5,7,8,1,4,2,1,2,11,37,20,5,8,5,2,4,3,1,1,2,10,14,14,9,3,2,9,10,6,22,6
