Entity,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Underreporting,Authoritarian,Continent
Norway,,39.2,17,77975.43,5.096433424,2.13517,26.8,100,,Europe
South Africa,,27.1,49,6100.35,4.096786162,1.118,63,100,,Africa
Angola,,,26,3037.98,,,,,1,Africa
Benin,,,108,1216.63,3.328764165,,,,,Africa
Cameroon,,18.5,56,1514.6,3.447462648,0.6859,46.5,,,Africa
Cape Verde,,,138,3598.63,3.59391778,0.36633,,,,Africa
Central African Republic,,,8,447.992,,,,,,Africa
Chad,,,13,861.246,2.796261118,,,,1,Africa
Democratic Republic of Congo,,,38,500.554,,,,,1,Africa
Cote d'Ivoire,,,,1691.31,4.184318164,0.23668,41.7,,,Africa
Djibouti,,,43,2936.21,,1.1726,,,,Africa
Equatorial Guinea,,,50,8927.44,,0.65485,,,1,Africa
Eritrea,,,30,342.6,,,,,1,Africa
Ethiopia,,,104,953.179,3.375877069,,,,1,Africa
Gabon,,18.6,8,8112.32,3.389185647,0.44951,38,,1,Africa
"Gambia, The",,,226,755.046,4.14073315,,,,,Africa
Guinea,,,53,981.016,2.766527923,,,,,Africa
Liberia,,,45,703.826,3.904567143,,,,,Africa
Madagascar,,,47,463.869,2.762166851,,,,,Africa
Mauritania,,,5,1392.46,2.653240592,,,,,Africa
Mauritius,,35.3,623,11360.67,4.298001497,1.45798,35.8,,,Africa
mibia,,21.2,3,5842.06,4.008241473,0.31244,59.1,,,Africa
Moco,,,19427,,,,,,,Africa
Niger,,,19,405.095,,,,,,Africa
Rwanda,,19,492,824.927,5.388244505,0.61793,50.4,,1,Africa
Senegal,,18.8,85,1427.87,3.988356001,0.69642,40.3,,,Africa
Seychelles,,35.4,218,17052.23,3.839127831,0.51451,46.8,,,Africa
Somalia,,,25,,,,,,,Africa
Sudan,,,23,714.295,,,,,,Africa
Tanzania,,,63,1104.79,3.498987023,,,,,Africa
Togo,,,146,671.4,,0.46616,,,,Africa
Tunesia,,31.6,,,,,,,,Africa
Tunisia,,,72,3287.09,3.484548739,1.0105,35.8,,,Africa
Uganda,,,189,770.062,3.567911081,,,,1,Africa
Zambia,,,24,1307.03,3.986408085,,,,,Africa
Zimbabwe,,,38,859.953,2.852291689,,,,,Africa
Burki Faso,,,77,717.962,,0.778455,,,,Africa
