Entity,Days,Country,(Intercept),log_day,Ztests_per_mil
Liechtenstein,25,Liechtenstein,2.910458962,1.493573282,
Lithuania,28,Lithuania,-2.455549481,2.594010449,-0.968060796
Luxembourg,28,Luxembourg,-1.497328255,2.978621543,
Macedonia,29,Macedonia,-2.991547984,2.376275668,
Madagascar,15,Madagascar,-2.747006052,1.308880316,
Malawi,2,Malawi,-1.852643141,-4.53E-16,
Malaysia,70,Malaysia,-8.522645507,1.886268882,3.132710462
Maldives,26,Maldives,1.719334696,0.574882818,
Mali,10,Mali,-2.576246,1.363433432,
Malta,26,Malta,4.531123913,1.497611129,-3.273032944
Mauritania,21,Mauritania,-2.17962976,0.709110043,
Mauritius,16,Mauritius,0.975204547,1.459580576,
Mexico,28,Mexico,-5.587872027,2.330290289,
Moldova,26,Moldova,-2.080203131,2.02235462,
Moco,24,Moco,2.420234442,1.550854797,
Mongolia,20,Mongolia,-1.09466764,0.914344686,
Montenegro,18,Montenegro,1.178583037,1.469221238,
Montserrat,14,Montserrat,4.65052514,0.87123187,
Morocco,26,Morocco,-4.54489923,2.239834073,
Mozambique,13,Mozambique,-3.764950454,1.105110051,
Myanmar,12,Myanmar,-3.662728464,1.019326777,
mibia,21,mibia,-1.083888664,0.780470281,
Nepal,58,Nepal,-4.049632113,0.30942958,
Netherlands,37,Netherlands,-3.562240951,3.022862099,-0.773723314
New Caledonia,15,New Caledonia,2.096818506,0.811307674,
New Zealand,28,New Zealand,-4.335674236,2.677476959,
Nicaragua,17,Nicaragua,-2.39254396,0.677810458,
Niger,15,Niger,-4.314420242,1.788461457,
Nigeria,26,Nigeria,-7.508983532,2.089320306,
North America,75,North America,-11.48105125,3.313904165,
Northern Maria Islands,5,Northern Maria Islands,3.734343044,0.843600739,
Norway,38,Norway,-2.515277992,2.610274324,-0.124372493
Oceania,71,Oceania,-6.230279904,2.057134828,
Oman,34,Oman,-2.044932558,1.491584935,
Pakistan,33,Pakistan,-8.051019339,2.717655071,0.461778032
Palestine,28,Palestine,0.573915217,0.839735292,-0.302031022
Pama,26,Pama,-0.454400112,2.224368161,-1.041758878
Papua New Guinea,15,Papua New Guinea,-2.191321297,-3.74E-16,
Paraguay,24,Paraguay,-1.91593069,1.337442386,
Peru,28,Peru,-3.902878045,2.245652967,
Philippines,62,Philippines,-10.59871785,2.113640067,2.227334328
Poland,30,Poland,-4.25049316,2.548831072,-0.299033576
Portugal,33,Portugal,-3.875011923,2.892103853,
Puerto Rico,8,Puerto Rico,2.990132771,0.873243726,
Qatar,31,Qatar,11.69230891,2.165743129,-13.04505879
Romania,36,Romania,-5.183028014,2.741726161,-0.36328859
Russia,59,Russia,-11.50484191,2.072133234,2.921294705
Rwanda,21,Rwanda,-2.489577537,1.457991408,
Saint Barthlemy,1,Saint Barthlemy,6.408496292,,
Saint Kitts and Nevis,10,Saint Kitts and Nevis,3.190597371,0.82972159,
Saint Lucia,21,Saint Lucia,1.548615867,0.661779788,
Saint Vincent and the Gredines,12,Saint Vincent and the Gredines,1.802264801,0.404731681,
San Marino,36,San Marino,2.747367902,1.792053218,
Saudi Arabia,30,Saudi Arabia,-4.21909726,2.365934864,
Senegal,26,Senegal,-2.971691158,1.669498223,
Serbia,26,Serbia,-1.844864456,2.068638671,
Seychelles,21,Seychelles,3.122584858,0.493276503,
Sierra Leone,4,Sierra Leone,-2.185042072,0.572746929,
Singapore,72,Singapore,-2.393835266,1.561567881,
Sint Maarten (Dutch part),10,Sint Maarten (Dutch part),2.694435358,1.32849559,
Slovakia,28,Slovakia,-2.405124894,1.959309596,0.364417215
Slovenia,30,Slovenia,-0.159895326,2.048052654,-0.495037948
Somalia,19,Somalia,-3.469667368,0.619886017,
South Africa,28,South Africa,-4.820521366,2.598292527,-0.644518562
South America,39,South America,-9.868165183,3.512236428,
South Korea,76,South Korea,-7.705440899,3.251481644,-1.291943336
Spain,64,Spain,-16.45476092,3.955317033,5.033192898
Sri Lanka,59,Sri Lanka,-6.254419364,1.529464926,
Sudan,22,Sudan,-4.502380413,0.767947038,
Surime,16,Surime,0.705242158,0.848558204,
Swaziland,21,Swaziland,-1.212335492,1.041292317,
Sweden,64,Sweden,-15.91672812,2.997745981,7.601587282
Switzerland,39,Switzerland,-3.349188811,3.199812364,-0.836199739
Syria,13,Syria,-3.650605462,1.318154779,
Taiwan,73,Taiwan,-5.193403261,1.494437915,0.494062027
Tanzania,19,Tanzania,-4.40790345,1.17887371,
Thailand,76,Thailand,-7.245631102,1.973822635,0.113561206
Timor,14,Timor,-0.276450737,-9.60E-17,
Togo,22,Togo,-3.638086442,1.674918695,
Trinidad and Tobago,23,Trinidad and Tobago,-1.09734557,1.742081183,
Tunisia,27,Tunisia,-3.230709967,1.971309686,
Turkey,22,Turkey,-5.312423762,3.481824392,
Turks and Caicos Islands,11,Turks and Caicos Islands,3.070454503,0.836650671,
Uganda,14,Uganda,-4.00984059,1.610398863,
Ukraine,22,Ukraine,-4.106828244,2.381897661,-0.728669834
United Arab Emirates,63,United Arab Emirates,-4.450287169,1.73864399,-0.048917582
United Kingdom,65,United Kingdom,-12.92152464,2.950681998,3.982635608
United States,75,United States,-15.40586303,3.334781101,3.716754176
United States Virgin Islands,11,United States Virgin Islands,4.834661938,0.367288202,
Uruguay,21,Uruguay,0.513331706,1.436466625,
Uzbekistan,20,Uzbekistan,-2.208716396,1.293530868,
Vatican,21,Vatican,6.160016575,0.794817734,
Venezuela,21,Venezuela,-1.253188923,0.949573833,
Vietm,68,Vietm,-6.516030317,1.330605095,0.77673079
World,96,World,-11.35711889,3.319291027,
Zambia,17,Zambia,-3.414301043,1.409750771,
Zimbabwe,15,Zimbabwe,-2.905139606,0.858322597,
