Entity,Entity2,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Underreporting,Authoritarian,Continent,Days,Country,X.Intercept.,log_day,Ztests_per_mil,TL_c,TL_l,TL_h,TL_2,Government.efficiency_c,Government.efficiency_l,Government.efficiency_h,Government.efficiency_2,ZGDP.capita,ZGini,ZMedian_Age,ZUnderreporting,Zlog_PopDensity,Authoritarianism,Europe,Africa,Asia,SouthA,NorthA,Mortality.Likelihood,Total_Cases,Total_Deaths
Ivory Coast,Ivory Coast,0.579913096,20.9,,,,0.23668,41.7,33.82,,Africa,,,,,,0.320415508,1.488271441,-0.847440426,0.102666098,,,,,,0.562101431,-0.956531268,-0.050848212,,0,0,1,0,0,0,0.011494253,261,3
Saudi ia,Saudi Arabia,1.82765443,27.5,16,22865.18,4.418430699,1.1616,45.9,,1,Asia,30,Saudi ia,-4.21909726,2.365934864,,1.568156842,2.736012775,0.400300908,2.45911588,0.785076504,1.58078634,-0.010633332,0.616345117,0.328309681,1.10616888,-0.484719291,,-1.090995782,1,0,0,1,0,0,0.012236287,2370,29
Estonia,Estonia,-1.116939747,42.7,29,23523.6,4.401768271,1.9919,34.6,100,,Europe,32,Estonia,-5.648241784,2.622641463,3.150901445,-1.376437335,-0.208581402,-2.544293269,1.894579738,0.768414076,1.564123912,-0.02729576,0.590460192,0.360417464,-0.357631638,0.601877989,2.154351455,-0.715167173,0,1,0,0,0,0,0.013673655,1097,15
Finland,Finland,-0.292051891,42.5,16,48868.74,5.320377733,1.9232,26.8,48,,Europe,61,Finland,-11.36084017,2.422060764,4.696572878,-0.551549479,0.616306454,-1.719405413,0.304206828,1.687023538,2.482733374,0.891313702,2.846048418,1.596370574,-1.368042614,0.587580656,0.421646972,-1.090995782,0,1,0,0,0,0,0.014530358,1927,28
Czech Republic,Czech Republic,-1.051712123,42.1,136,23213.95,3.681881098,1.8725,25.9,53,,Europe,34,Czech Republic,-3.594695412,2.525678713,0.262023595,-1.311209711,-0.143353778,-2.479065645,1.719270907,0.048526903,0.844236739,-0.747182933,0.00235486,0.345317414,-1.484628496,0.558985991,0.588253172,0.289794707,0,1,0,0,0,0,0.014747964,4543,67
Germany,Germany,0.526239441,47.1,235,46563.99,4.728817911,2.1238,31.4,47,,Europe,68,Germany,-16.02769238,3.091869902,7.146105272,0.266741853,1.434597786,-0.901114081,0.071151216,1.095463716,1.891173552,0.29975388,1.200040753,1.483979681,-0.772159218,0.916419307,0.388325732,0.649654679,0,1,0,0,0,0,0.015045574,96108,1446
Austria,Austria,0.730423398,44,107,50022.61,4.312938023,2.3278,30.5,42,,Europe,39,Austria,-6.019597744,3.008053676,1.712210164,0.47092581,1.638781743,-0.696930124,0.221771118,0.679583828,1.475293664,-0.116126008,0.461834179,1.652638924,-0.8887451,0.694810651,0.221719531,0.132412254,0,1,0,0,0,0,0.017199224,11861,204
South Korea,South Korea,0.924769361,41.8,512,31430.6,3.379812899,1.39349,31.6,69,,Asia,76,South Korea,-7.705440899,3.251481644,-1.291943336,0.665271773,1.833127706,-0.502584161,0.442586531,-0.253541296,0.54216854,-1.049251132,0.064283189,0.746001495,-0.746251244,0.537539992,1.121393013,1.163418912,0,0,0,1,0,0,0.017876331,10237,183
Cada,Canada,-0.034231097,42.2,4,46212.84,4.702926362,1.5894,34,31,,North America,70,Cada,-7.400476448,2.35759618,,-0.293728685,0.874127248,-1.461584619,0.086276541,1.069572167,1.865282003,0.273862331,1.14398462,1.466855887,-0.435355559,0.566134658,-0.144814109,-1.900754134,0,0,0,0,0,1,0.018480827,12283,227
Turkey,Turkey,1.199072895,30.9,108,8957.89,3.675668315,1.56343,41.9,15,1,Europe,22,Turkey,-5.312423762,3.481824392,,0.939575307,2.10743124,-0.228280627,0.882801757,0.04231412,0.838023956,-0.753395716,0.001790485,-0.349877866,0.588009404,-0.241664636,-0.67795395,0.13851081,1,1,0,0,0,0,0.021242011,27069,575
Nigeria,Nigeria,1.199983228,18.4,223,2222.01,3.020569217,,43,72.25,,Africa,26,Nigeria,-7.508983532,2.089320306,,0.94048564,2.108341573,-0.227370294,0.884513238,-0.612784978,0.182924858,-1.408494814,0.375505429,-0.678352352,0.73050326,-1.135247926,1.229687043,0.615123956,0,0,1,0,0,0,0.022321429,224,5
Colombia,Colombia,-1.912583817,30,45,6508.13,3.039393647,0.97593,50.8,24,,South America,25,Colombia,-3.984620894,2.287713924,-0.252824421,-2.172081405,-1.004225472,-3.339937339,4.717937632,-0.593960548,0.201749288,-1.389670384,0.352789133,-0.469340157,1.740914237,-0.306002633,-0.37806279,-0.432332307,0,0,0,0,1,0,0.022759602,1406,32
Poland,Poland,-0.770896641,40.7,121,14901.55,3.199944642,1.26105,32.1,30,,Europe,30,Poland,-4.25049316,2.548831072,-0.299033576,-1.030394229,0.137461704,-2.198250163,1.061712268,-0.433409553,0.362300283,-1.229119389,0.187843841,-0.060035906,-0.68148131,0.458904663,-0.178135349,0.213065367,0,1,0,0,0,0,0.022915651,4102,94
India,India,2.199249145,28.1,420,2171.64,3.992122169,,35.7,17,,Asia,65,India,-12.51535289,2.052240812,1.74514664,1.939751557,3.10760749,0.771895623,3.762636101,0.358767974,1.15447781,-0.436941862,0.128714459,-0.68080864,-0.215137782,-0.441827293,-0.61131147,1.032640768,0,0,0,1,0,0,0.023203802,3577,83
Gha,Ghana,3.491767272,21.1,130,2223.42,3.773055774,0.7799,42.8,56.79,,Africa,22,Gha,-4.178458046,1.909413605,,3.232269684,4.400125617,2.06441375,10.44756731,0.139701579,0.935411415,-0.656008257,0.019516531,-0.678283593,0.704595286,-0.942233935,0.714540672,0.260161904,0,0,1,0,0,0,0.023364486,214,5
Japan,Japan,1.083211645,47.3,335,40846.78,4.634031911,0.79674,32.1,26,,Asia,81,Japan,-10.08732024,2.490192006,1.143798968,0.823714057,1.99156999,-0.344141877,0.678504847,1.000677716,1.796387552,0.20496788,1.001355891,1.205180531,-0.68148131,0.93071664,-0.31142031,0.883415629,0,0,0,1,0,0,0.024020589,3497,84
United States,United States,-0.018878891,38.1,35,65111.6,4.263459752,2.0159,41.5,16,,North America,75,United States,-15.40586303,3.334781101,3.716754176,-0.278376479,0.889479454,-1.446232413,0.077493464,0.630105557,1.425815393,-0.165604279,0.397033013,2.388451949,0.536193457,0.273039339,-0.64463271,-0.594527063,0,0,0,0,0,1,0.024984745,304826,7616
Ukraine,Ukraine,-0.477058981,40.6,72,3592.17,2.866647266,0.69566,25.5,11,,Europe,22,Ukraine,-4.106828244,2.381897661,-0.728669834,-0.736556569,0.431299364,-1.904412503,0.54251558,-0.766706929,0.029002907,-1.562416765,0.587839515,-0.611536642,-1.536444444,0.451755996,-0.81123891,-0.126752534,0,1,0,0,0,0,0.025579536,1251,32
Kenya,Kenya,1.49138659,19.7,93,1997.55,3.825732816,,,43.53,,Africa,22,Kenya,-4.925200163,1.652681357,,1.231889002,2.399744935,0.064033068,1.517550512,0.192378621,0.988088457,-0.603331215,0.037009534,-0.68929812,,-1.042315264,0.272701029,0.04054575,0,0,1,0,0,0,0.028169014,142,4
Sri Lanka,Sri Lanka,1.444244091,32.8,326,3946.59,3.865479418,0.58669,39.8,45.85,,Asia,59,Sri Lanka,-6.254419364,1.529464926,,1.184746503,2.352602436,0.016890569,1.403624275,0.232125223,1.027835059,-0.563584613,0.053882119,-0.594253388,0.31597568,-0.105839976,0.350006306,0.865450127,0,0,0,1,0,0,0.028571429,175,5
Argenti,Argentina,-1.497120258,31.7,16,9887.79,2.336128838,1.0001,42.4,19,,South America,29,Argenti,-4.710198698,2.306821791,,-1.756617846,-0.588761913,-2.92447378,3.085706258,-1.297225357,-0.501515521,-2.092935193,1.682793627,-0.304531389,0.652779339,-0.184475306,-0.54466899,-1.090995782,0,0,0,0,1,0,0.030323915,1451,44
