Entity,Entity2,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Underreporting,Authoritarian,Continent,Days,Country,X.Intercept.,log_day,Ztests_per_mil,TL_c,TL_l,TL_h,TL_2,Government.efficiency_c,Government.efficiency_l,Government.efficiency_h,Government.efficiency_2,ZGDP.capita,ZGini,ZMedian_Age,ZUnderreporting,Zlog_PopDensity,Authoritarianism,Europe,Africa,Asia,SouthA,NorthA,Mortality.Likelihood,Total_Cases,Total_Deaths
Bulgaria,Bulgaria,,42.7,63,9518.44,2.978547758,1.26498,37.4,,,Europe,26,Bulgaria,-1.49281422,1.776382768,,,,,,-0.654806437,0.140903399,-1.450516273,0.42877147,-0.322542704,0.005079995,0.601877989,,-0.21381512,0,1,0,0,0,0,0.037664783,531,20
Burki Faso,Burkina Faso,,,77,717.962,,0.778455,,,,Africa,23,Burki Faso,-3.461798233,1.934636118,,,,,,,,,,-0.751697096,,,,-0.082916065,0,0,1,0,0,0,0.049275362,345,17
Cambodia,Cambodia,,25.3,92,1620.64,2.926579304,0.7519,30.8,,1,Asia,59,Cambodia,-5.842586518,1.446516572,,,,,,-0.706774891,0.088934945,-1.502484727,0.499530747,-0.707678097,-0.849883139,-0.64198995,,0.033468798,1,0,0,1,0,0,0,114,0
Cameroon,Cameroon,,18.5,56,1514.6,3.447462648,0.6859,46.5,,,Africa,23,Cameroon,-4.320490864,2.012937162,,,,,,-0.185891547,0.609818289,-0.981601383,0.034555667,-0.712849127,1.183892801,-1.12809926,,-0.290459722,0,0,1,0,0,0,0.013846154,650,9
Cape Verde,Cape Verde,,,138,3598.63,3.59391778,0.36633,,,,Africa,15,Cape Verde,1.247796022,0.422100856,,,,,,-0.039436415,0.756273421,-0.835146251,0.001555231,-0.611221621,,,,0.299384566,0,0,1,0,0,0,0,7,0
Cayman Islands,Cayman Islands,,,249,,,0.5714,,,,North America,16,Cayman Islands,2.459735702,1.099969973,,,,,,,,,,,,,,0.68778721,0,0,0,0,0,1,,,
Central African Republic,Central African Republic,,,8,447.992,,,,,,Africa,20,Central African Republic,-2.341779089,0.911942732,,,,,,,,,,-0.764862155,,,,-1.511822351,0,0,1,0,0,0,,,
Chad,Chad,,,13,861.246,2.796261118,,,,1,Africa,16,Chad,-3.127546595,0.837999527,,,,,,-0.837093077,-0.041383241,-1.632802913,0.70072482,-0.744709867,,,,-1.219466619,1,0,1,0,0,0,,,
Costa Rica,Costa Rica,,31.3,100,12014.8,3.481751984,1.17823,48.7,,,North America,28,Costa Rica,-1.125558588,1.783697506,-0.498663328,,,,,-0.151602211,0.644107625,-0.947312047,0.02298323,-0.200807968,1.468880512,-0.213069971,,0.088072025,0,0,0,0,0,1,0.004405286,454,2
Cote d'Ivoire,Cote d'Ivoire,,,,1691.31,4.184318164,0.23668,41.7,,,Africa,22,Cote d'Ivoire,-4.048303119,1.918750241,,,,,,0.550963969,1.346673805,-0.244745867,0.303561295,-0.704231882,0.562101431,,,,0,0,1,0,0,0,,,
Croatia,Croatia,,43,73,14949.76,2.492664975,1.4565,32.3,,,Europe,36,Croatia,-1.950415234,2.235378585,-1.270578868,,,,,-1.14068922,-0.344979384,-1.936399056,1.301171897,-0.05768495,-0.655573336,0.623323988,,-0.117749828,0,1,0,0,0,0,0.012690355,1182,15
Cuba,Cuba,,,103,,,0.69708,,,1,North America,21,Cuba,-2.392077657,1.690982913,,,,,,,,,,,,,,0.107439906,1,0,0,0,0,1,0.001794795,3343,6
Cyprus,Cyprus,,,131,27719.69,3.885017549,,,,,Europe,24,Cyprus,0.554041696,1.572528619,,,,,,0.251663354,1.04737319,-0.544046482,0.063334444,0.565039355,,,,0.265193782,0,1,0,0,0,0,,,
Democratic Republic of Congo,Democratic Republic of Congo,,,38,500.554,,,,,1,Africa,23,Democratic Republic of Congo,-5.556855505,1.823014676,,,,,,,,,,-0.762298974,,,,-0.541563709,1,0,1,0,0,0,,,
Denmark,Denmark,,42.2,134,59795.27,4.202773903,2.1195,28.5,20,,Europe,38,Denmark,-6.8123951,2.931012189,2.578107474,,,,,0.569419708,1.365129544,-0.226290128,0.324238804,2.129201671,-1.147824838,0.566134658,-0.51134775,0.280063816,0,1,0,0,0,0,0.040970474,4369,179
Djibouti,Djibouti,,,43,2936.21,,1.1726,,,,Africa,17,Djibouti,-1.378713512,1.691486935,,,,,,,,,,-0.643524463,,,,-0.461745535,0,0,1,0,0,0,0,59,0
Dominica,Dominica,,,96,8380.98,,1.5447,,,,North America,13,Dominica,2.497350014,1.169534497,,,,,,,,,,-0.378010822,,,,0.061333491,0,0,0,0,0,1,,,
Dominican Republic,Dominican Republic,,28.1,223,8629.25,3.172680333,1.6514,45.3,7.1,,North America,25,Dominican Republic,-3.88823915,2.588677307,,,,,,-0.460673862,0.335035974,-1.256383698,0.212220407,-0.365903961,1.028444958,-0.441827293,-0.941191747,0.615123956,0,0,0,0,0,1,,,
Egypt,Egypt,,23.9,102,3046.59,3.261799561,0.59606,31.8,9.7,1,Africa,46,Egypt,-8.814791883,2.589531389,,,,,,-0.371554634,0.424155202,-1.16726447,0.138052846,-0.638141794,-0.72034327,-0.742071279,-0.854556523,0.101046729,1,0,1,0,0,0,0.066496164,1173,78
El Salvador,El Salvador,,27.1,308,4008.02,3.125414803,0.3558,40,,,North America,17,El Salvador,-2.655527178,1.581893975,,,,,,-0.507939392,0.287770444,-1.303649228,0.258002426,-0.59125776,0.341883654,-0.513313956,,0.827986046,0,0,0,0,0,1,0.048387097,62,3
Equatorial Guinea,Equatorial Guinea,,,50,8927.44,,0.65485,,,1,Africa,21,Equatorial Guinea,-1.103925459,1.192339102,,,,,,,,,,-0.351362757,,,,-0.364056466,1,0,1,0,0,0,0,15,0
Eritrea,Eritrea,,,30,342.6,,,,,1,Africa,14,Eritrea,-2.194468558,1.449365389,,,,,,,,,,-0.770001585,,,,-0.693470519,1,0,1,0,0,0,0,29,0
Ethiopia,Ethiopia,,,104,953.179,3.375877069,,,,1,Africa,22,Ethiopia,-4.95535911,1.124363466,,,,,,-0.257477126,0.53823271,-1.053186962,0.06629447,-0.740226763,,,,0.113771903,1,0,1,0,0,0,0.046511628,43,2
Faroe Islands,Faroe Islands,,,35,,,0.33769,,,,North America,,,,,,,,,,,,,,,,,,-0.594527063,0,0,0,0,0,1,,,
Fiji,Fiji,,,49,6379.71,,0.9427,,,,Asia,16,Fiji,-0.007908244,0.792450381,,,,,,,,,,-0.475602545,,,,-0.37715964,0,0,0,1,0,0,0,12,0
France,France,,41.4,118,41760.61,3.886942956,2.0178,32.3,6.9,,Europe,70,France,-12.51598802,2.996331463,3.690274056,,,,,0.253588761,1.049298597,-0.542121075,0.06430726,1.249743356,-0.655573336,0.508945327,-0.947855995,0.196590939,0,1,0,0,0,0,0.114617327,70478,8078
French Polynesia,French Polynesia,,,67,,,1.1575,,,,Asia,17,French Polynesia,2.47787793,0.943968615,,,,,,,,,,,,,,-0.173700494,0,0,0,1,0,0,,,
Gabon,Gabon,,18.6,8,8112.32,3.389185647,0.44951,38,,1,Africa,22,Gabon,-1.754966051,1.111924548,,,,,,-0.244168548,0.551541288,-1.039878384,0.05961828,-0.391111999,0.082803916,-1.120950593,,-1.511822351,1,0,1,0,0,0,0.055555556,18,1
"Gambia, The","Gambia, The",,,226,755.046,4.14073315,,,,,Africa,,,,,,,,,,0.507378955,1.303088791,-0.288330881,0.257433404,-0.749888698,,,,0.62392704,0,0,1,0,0,0,,,
Georgia,Georgia,,38.1,57,4289.32,4.052733487,0.75048,36.5,,,Europe,35,Georgia,-2.297474063,1.58163662,,,,,,0.419379292,1.215089128,-0.376330544,0.175878991,-0.577540195,-0.111505887,0.273039339,,-0.278951802,0,1,0,0,0,0,0.011494253,174,2
Gibraltar,Gibraltar,,,5615,,,0.5388,,,,Europe,16,Gibraltar,4.974357201,0.992591684,,,,,,,,,,,,,,2.7469055,0,1,0,0,0,0,,,
Greda,Greda,,,327,11381.38,,,,,,North America,13,Greda,1.566510348,1.232981122,,,,,,,,,,-0.231696629,,,,0.867470552,0,0,0,0,0,1,,,
Greenland,Greenland,,,0,,,0.5534,,,,Europe,16,Greenland,3.035494094,0.801815801,,,,,,,,,,,,,,-2.965700984,0,1,0,0,0,0,0,11,0
Guam,Guam,,,307,,,1.14403,,,,Asia,17,Guam,3.153835527,1.09541105,,,,,,,,,,,,,,0.825841186,0,0,0,1,0,0,0.035714286,112,4
Guatemala,Guatemala,,,165,4616.85,,0.17311,,,,North America,21,Guatemala,-3.041730164,1.350916248,,,,,,,,,,-0.561568229,,,,0.416843475,0,0,0,0,0,1,0.042857143,70,3
Guinea,Guinea,,,53,981.016,2.766527923,,,,,Africa,21,Guinea,-4.045048109,1.336277321,,,,,,-0.866826272,-0.071116436,-1.662536108,0.751387786,-0.738869295,,,,-0.32623539,0,0,1,0,0,0,0,121,0
Guya,Guya,,,4,5252.05,3.426269634,,,,,South America,21,Guya,0.558837722,0.689885767,,,,,,-0.207084561,0.588625275,-1.002794397,0.042884015,-0.530592767,,,,-1.900754134,0,0,0,0,1,0,,,
Haiti,Haiti,,,411,784.08,2.648886654,,,,,North America,16,Haiti,-2.382138819,0.994267658,,,,,,-0.984467541,-0.188757705,-1.780177377,0.969176339,-0.748472859,,,,1.018342017,0,0,0,0,0,1,0.047619048,21,1
Honduras,Honduras,,23,88,2548.46,3.432064003,0.629,50,,,North America,22,Honduras,-2.410131034,1.683999593,,,,,,-0.201290192,0.594419644,-0.997000028,0.040517741,-0.662433052,1.637282342,-0.806409275,,0.004378897,0,0,0,0,0,1,0.073825503,298,22
Hong Kong,Hong Kong,,,6791,49334.35,5.471259582,,,,,Asia,,,,,,,,,,1.837905387,2.633615223,1.042195551,3.377896212,1.619075997,,,,2.872709578,0,0,0,1,0,0,0.004489338,891,4
Iraq,Iraq,,,92,5738.45,,0.70729,,,,Asia,38,Iraq,-4.313243957,1.890434176,,,,,,,,,,-0.506873522,,,,0.033468798,0,0,0,1,0,0,0.063475546,961,61
Jamaica,Jamaica,,152,269,5460.98,3.204617537,0.54425,45.5,,,North America,23,Jamaica,-0.168466108,0.902028644,,,,,,-0.428736658,0.366973178,-1.224446494,0.183815122,-0.520404318,1.054352932,8.415370274,,0.73871146,0,0,0,0,0,1,0.051724138,58,3
Jordan,Jordan,,22.5,114,4386.61,4.158718249,1.05357,35.4,,1,Asia,23,Jordan,-3.064672954,2.164145373,,,,,,0.525364054,1.32107389,-0.270345782,0.276007389,-0.572795859,-0.253999743,-0.842152607,,0.173966899,1,0,0,1,0,0,0.014492754,345,5
Kosovo,Kosovo,,,,4442.36,,1.5511,,,,Europe,20,Kosovo,-0.047608706,1.462056161,,,,,,,,,,-0.570077216,,,,,0,1,0,0,0,0,0.006896552,145,1
Kuwait,Kuwait,,29.3,240,29266.98,3.493208686,0.93529,,,,Asia,38,Kuwait,-0.084826803,1.232919225,-0.172421875,,,,,-0.140145509,0.655564327,-0.935855345,0.019640764,0.640492791,,-0.356043297,,0.663527067,0,0,0,1,0,0,0.001798561,556,1
Kyrgyzstan,Kyrgyzstan,,26.5,33,1292.98,3.121744115,0.7753,26.8,,,Asia,17,Kyrgyzstan,-1.24318139,1.487283023,,,,,,-0.51161008,0.284099756,-1.307319916,0.261744874,-0.723656403,-1.368042614,-0.556205954,,-0.632348138,0,0,0,1,0,0,0.013605442,147,2
Lebanon,Lebanon,,30.5,653,9654.81,2.686931697,1.2273,35.6,26,,Asia,39,Lebanon,-4.537183046,2.370731547,,,,,,-0.946422498,-0.150712662,-1.742132334,0.895715545,-0.315892635,-0.228091769,-0.270259302,-0.31142031,1.324097771,0,0,0,1,0,0,0.034155598,527,18
Liberia,Liberia,,,45,703.826,3.904567143,,,,,Africa,19,Liberia,-1.523352548,0.471104919,,,,,,0.271212948,1.066922784,-0.524496888,0.073556463,-0.752386436,,,,-0.432332307,0,0,1,0,0,0,0.230769231,13,3
Liechtenstein,Liechtenstein,,,238,,,1.4517,,,,Europe,25,Liechtenstein,2.910458962,1.493573282,,,,,,,,,,,,,,0.658012963,0,1,0,0,0,0,0,68,0
Lithuania,Lithuania,,43.7,42,19266.79,3.446601478,1.8535,37.7,,,Europe,28,Lithuania,-2.455549481,2.594010449,-0.968060796,,,,,-0.186752717,0.608957119,-0.982462553,0.034876577,0.152834568,0.043941955,0.673364652,,-0.476957439,0,1,0,0,0,0,0.016029593,811,13
Luxembourg,Luxembourg,,39.3,242,113196.49,5.138307522,2.5134,31.2,48,,Europe,28,Luxembourg,-1.497328255,2.978621543,,,,,,1.504953327,2.300663163,0.709243491,2.264884517,4.733306597,-0.798067192,0.358823334,0.421646972,0.668995599,0,1,0,0,0,0,0.012838802,2804,36
Macedonia,Macedonia,,37.9,81,,3.881608093,1.5149,35.6,,,Europe,29,Macedonia,-2.991547984,2.376275668,,,,,,0.248253898,1.043963734,-0.547455938,0.061629998,,-0.228091769,0.258742006,,-0.049824736,0,1,0,0,0,0,0.032432432,555,18
Madagascar,Madagascar,,,47,463.869,2.762166851,,,,,Africa,15,Madagascar,-2.747006052,1.308880316,,,,,,-0.871187344,-0.075477508,-1.66689718,0.758967388,-0.764087915,,,,-0.404171092,0,0,1,0,0,0,0,72,0
Maldives,Maldives,,,1802,15562.51,,0.61062,,,,Asia,26,Maldives,1.719334696,0.574882818,,,,,,,,,,-0.02780426,,,,1.995116178,0,0,0,1,0,0,0,19,0
Malta,Malta,,41.8,1397,30650.17,3.889380342,1.5246,29.4,,,Europe,26,Malta,4.531123913,1.497611129,-3.273032944,,,,,0.256026147,1.051735983,-0.539683689,0.065549388,0.707943907,-1.031238956,0.537539992,,1.826776423,0,1,0,0,0,0,0,227,0
Mauritania,Mauritania,,,5,1392.46,2.653240592,,,,,Africa,21,Mauritania,-2.17962976,0.709110043,,,,,,-0.980113603,-0.184403767,-1.775823439,0.960622675,-0.718805271,,,,-1.780114023,0,0,1,0,0,0,,,
Mauritius,Mauritius,,35.3,623,11360.67,4.298001497,1.45798,35.8,,,Africa,16,Mauritius,0.975204547,1.459580576,,,,,,0.664647302,1.460357138,-0.131062534,0.441756036,-0.23270655,-0.202183795,0.072876682,,1.293026867,0,0,1,0,0,0,0.030837004,227,7
mibia,Namibia,,21.2,3,5842.06,4.008241473,0.31244,59.1,,,Africa,21,mibia,-1.083888664,0.780470281,,,,,,0.374887278,1.170597114,-0.420822558,0.140540471,-0.501820991,2.816095148,-0.935085269,,-2.048405696,0,0,1,0,0,0,0,16,0
Moco,Monaco,,,19427,,,,,,,Africa,24,Moco,2.420234442,1.550854797,,,,,,,,,,,,,,3.568124449,0,0,1,0,0,0,,,
Moldova,Moldova,,26.3,119,3300.09,2.84528274,1.28295,36.7,,,Europe,26,Moldova,-2.080203131,2.02235462,,,,,,-0.788071455,0.007638381,-1.583781291,0.621056618,-0.625779893,-0.085597913,-0.570503287,,0.202128115,0,1,0,0,0,0,0.017361111,864,15
Mongolia,Mongolia,,28.3,2,4132.66,3.202003665,0.49109,32.3,,,Asia,20,Mongolia,-1.09466764,0.914344686,,,,,,-0.43135053,0.364359306,-1.227060366,0.18606328,-0.585179704,-0.655573336,-0.427529961,,-2.238761667,0,0,0,1,0,0,0,14,0
Montenegro,Montenegro,,40.7,45,8703.93,3.627117317,1.3794,31.9,,1,Europe,18,Montenegro,1.178583037,1.469221238,,,,,,-0.006236878,0.789472958,-0.801946714,3.89E-05,-0.362262199,-0.707389284,0.458904663,,-0.432332307,1,1,0,0,0,0,,,
Montserrat,Montserrat,,,49,,,,,,,North America,14,Montserrat,4.65052514,0.87123187,,,,,,,,,,,,,,-0.37715964,0,0,0,0,0,1,,,
Morocco,Morocco,,29.3,83,3345.03,3.743168046,0.831,40.7,6,1,Africa,26,Morocco,-4.54489923,2.239834073,,,,,,0.109813851,0.905523687,-0.685895985,0.012059082,-0.623588399,0.432561562,-0.356043297,-0.977845111,-0.033879659,1,0,1,0,0,0,0.068560235,1021,70
Nepal,Nepal,,,198,1047.74,3.04307165,,,,,Asia,58,Nepal,-4.049632113,0.30942958,,,,,,-0.590282545,0.205427291,-1.385992381,0.348433483,-0.735615506,,,,0.536818906,0,0,0,1,0,0,,,
New Zealand,New Zealand,,37.9,18,40634.14,5.228212773,1.3514,36.2,,,Asia,28,New Zealand,-4.335674236,2.677476959,,,,,,1.594858578,2.390568414,0.799148742,2.543573884,1.194811163,-0.150367848,0.258742006,,-1.017399038,0,0,0,1,0,0,0.001097695,911,1
Nicaragua,Nicaragua,,,51,1919.17,2.800580399,,,,,South America,17,Nicaragua,-2.39254396,0.677810458,,,,,,-0.832773796,-0.03706396,-1.628483632,0.693512195,-0.693120313,,,,-0.351207738,0,0,0,0,1,0,,,
Niger,Niger,,,19,405.095,,,,,,Africa,15,Niger,-4.314420242,1.788461457,,,,,,,,,,-0.766954023,,,,-0.983458846,0,0,1,0,0,0,0.054347826,184,10
Norway,Norway,,39.2,17,77975.43,5.096433424,2.13517,26.8,100,,Europe,38,Norway,-2.515277992,2.610274324,-0.124372493,,,,,1.463079229,2.258789065,0.667369393,2.14060083,3.015755278,-1.368042614,0.351674668,2.154351455,-1.053174707,0,1,0,0,0,0,0.012484614,5687,71
Oman,Oman,,25.6,16,17791.03,4.173837,0.8836,,,1,Asia,34,Oman,-2.044932558,1.491584935,,,,,,0.540482805,1.336192641,-0.255227031,0.292121663,0.080869285,,-0.620543951,,-1.090995782,1,0,0,1,0,0,0.006711409,298,2
Pakistan,Pakistan,,23.8,250,1388.24,3.054124701,0.62003,30.7,37,,Asia,33,Pakistan,-8.051019339,2.717655071,0.461778032,,,,,-0.579229494,0.216480342,-1.37493933,0.335506807,-0.719011059,-0.862837126,-0.749219945,0.055113331,0.690428686,0,0,0,1,0,0,0.01471069,3059,45
Palestine,Palestine,,,820,,,0.67092,,,1,Asia,28,Palestine,0.573915217,0.839735292,-0.302031022,,,,,,,,,,,,,1.474576204,1,0,0,1,0,0,0.004219409,237,1
Pama,Panama,,29.2,57,16245.45,3.602270628,1.62761,50.4,17,,North America,26,Pama,-0.454400112,2.224368161,-1.041758878,,,,,-0.031083567,0.764626269,-0.826793403,0.000966188,0.005499238,1.689098289,-0.363191964,-0.61131147,-0.278951802,0,0,0,0,0,1,0.024297646,1317,32
Papua New Guinea,Papua New Guinea,,,19,2742.27,,,,,,Asia,15,Papua New Guinea,-2.191321297,-3.74E-16,,,,,,,,,,-0.652981927,,,,-0.983458846,0,0,0,1,0,0,,,
Paraguay,Paraguay,,28.2,18,5692.18,2.933365933,0.7552,47.9,,,South America,24,Paraguay,-1.91593069,1.337442386,,,,,,-0.699988262,0.095721574,-1.495698098,0.489983567,-0.509129874,1.365248617,-0.434678627,,-1.017399038,0,0,0,0,1,0,0.044247788,113,5
Philippines,Philippines,,23.5,320,3294.47,3.384768242,0.7472,40.1,7.4,,Asia,62,Philippines,-10.59871785,2.113640067,2.227334328,,,,,-0.248585953,0.547123883,-1.044295789,0.061794976,-0.626053952,0.354837641,-0.770665944,-0.931195375,0.853196283,0,0,0,1,0,0,,,
Romania,Romania,,41.1,81,12482.97,3.216095861,1.30217,27.5,12,,Europe,36,Romania,-5.183028014,2.741726161,-0.36328859,,,,,-0.417258334,0.378451502,-1.21296817,0.174104517,-0.177977707,-1.277364706,0.487499328,-0.77791767,-0.049824736,0,1,0,0,0,0,0.039078675,3864,151
Rwanda,Rwanda,,19,492,824.927,5.388244505,0.61793,50.4,,1,Africa,21,Rwanda,-2.489577537,1.457991408,,,,,,1.75489031,2.550600146,0.959180474,3.07964,-0.746480959,1.689098289,-1.092355928,,1.137105756,1,0,1,0,0,0,0,104,0
Senegal,Senegal,,18.8,85,1427.87,3.988356001,0.69642,40.3,,,Africa,26,Senegal,-2.971691158,1.669498223,,,,,,0.355001806,1.150711642,-0.44070803,0.126026282,-0.717078506,0.380745614,-1.106653261,,-0.018309795,0,0,1,0,0,0,0.009009009,222,2
Serbia,Serbia,,42.6,99,7397.69,2.650929063,1.1074,29.1,14,1,Europe,26,Serbia,-1.844864456,2.068638671,,,,,,-0.982425132,-0.186715296,-1.778134968,0.96515914,-0.425960856,-1.070100916,0.594729323,-0.71127519,0.081488004,1,1,0,0,0,0,0.02672956,1908,51
Seychelles,Seychelles,,35.4,218,17052.23,3.839127831,0.51451,46.8,,,Africa,21,Seychelles,3.122584858,0.493276503,,,,,,0.205773636,1.001483472,-0.5899362,0.042342789,0.04484178,1.222754762,0.080025348,,0.600186783,0,0,1,0,0,0,,,
Slovenia,Slovenia,,44.5,103,26170.25,2.946271654,1.72542,25.7,40,,Europe,30,Slovenia,-0.159895326,2.048052654,-0.495037948,,,,,-0.687082541,0.108627295,-1.482792377,0.472082418,0.489481075,-1.51053647,0.730553983,0.155077051,0.107439906,0,1,0,0,0,0,0.028084253,997,28
Somalia,Somalia,,,25,,,,,,,Africa,19,Somalia,-3.469667368,0.619886017,,,,,,,,,,,,,,-0.809855382,0,0,1,0,0,0,,,
South Africa,South Africa,,27.1,49,6100.35,4.096786162,1.118,63,100,,Africa,28,South Africa,-4.820521366,2.598292527,-0.644518562,,,,,0.463431967,1.259141803,-0.332277869,0.214769188,-0.489225506,3.321300636,-0.513313956,2.154351455,-0.37715964,0,0,1,0,0,0,0.006646526,1655,11
Sudan,Sudan,,,23,714.295,,,,,,Africa,22,Sudan,-4.502380413,0.767947038,,,,,,,,,,-0.751875917,,,,-0.862818736,0,0,1,0,0,0,0.166666667,12,2
Surime,Suriname,,,4,6310.95,,0.8318,,,,South America,16,Surime,0.705242158,0.848558204,,,,,,,,,,-0.478955619,,,,-1.900754134,0,0,0,0,1,0,,,
Swaziland,Swaziland,,21.7,67,,3.354239642,0.1636,51.5,24,,Africa,21,Swaziland,-1.212335492,1.041292317,,,,,,-0.279114553,0.516595283,-1.074824389,0.077904934,,1.831592145,-0.899341938,-0.37806279,-0.173700494,0,0,1,0,0,0,,,
Switzerland,Switzerland,,42.4,210,83716.81,5.27318957,2.4411,32.5,24,,Europe,39,Switzerland,-3.349188811,3.199812364,-0.836199739,,,,,1.639835375,2.435545211,0.844125539,2.689060057,3.295733075,-0.629665362,0.58043199,-0.37806279,0.575562968,0,1,0,0,0,0,0.016901837,19702,333
Syria,Syria,,,95,,,,,,1,Asia,13,Syria,-3.650605462,1.318154779,,,,,,,,,,,,,,0.054476552,1,0,0,1,0,0,0.105263158,19,2
Taiwan,Taiwan,,,658,24827.9,,0.63067,,,,Asia,73,Taiwan,-5.193403261,1.494437915,0.494062027,,,,,,,,,0.424021518,,,,1.329137313,0,0,0,1,0,0,0.013774105,363,5
Tanzania,Tanzania,,,63,1104.79,3.498987023,,,,,Africa,19,Tanzania,-4.40790345,1.17887371,,,,,,-0.134367172,0.661342664,-0.930077008,0.018054537,-0.732833469,,,,-0.21381512,0,0,1,0,0,0,0.045454545,22,1
Togo,Togo,,,146,671.4,,0.46616,,,,Africa,22,Togo,-3.638086442,1.674918695,,,,,,,,,,-0.753967687,,,,0.336411774,0,0,1,0,0,0,0.068181818,44,3
Tunesia,Tunesia,,31.6,,,,,,,,Africa,,,,,,,,,,,,,,,,-0.191623972,,,0,0,1,0,0,0,0.03826087,575,22
Tunisia,Tunisia,,,72,3287.09,3.484548739,1.0105,35.8,,,Africa,27,Tunisia,-3.230709967,1.971309686,,,,,,-0.148805456,0.64690438,-0.944515292,0.022143064,-0.626413837,-0.202183795,,,-0.126752534,0,0,1,0,0,0,0.03826087,575,22
Uganda,Uganda,,,189,770.062,3.567911081,,,,1,Africa,14,Uganda,-4.00984059,1.610398863,,,,,,-0.065443114,0.730266722,-0.86115295,0.004282801,-0.749156445,,,,0.506195456,1,0,1,0,0,0,0,52,0
Uruguay,Uruguay,,,19,17029.25,3.787633754,1.55014,,,,South America,21,Uruguay,0.513331706,1.436466625,,,,,,0.154279559,0.949989395,-0.641430277,0.023802182,0.043721163,,,,-0.983458846,0,0,0,0,1,0,0.015,400,6
Uzbekistan,Uzbekistan,,,75,1831.57,,0.33522,,,1,Asia,20,Uzbekistan,-2.208716396,1.293530868,,,,,,,,,,-0.697392118,,,,-0.10010375,1,0,0,1,0,0,0.005847953,342,2
Vatican,Vatican,,,1820,,,0.1164,,,,Europe,21,Vatican,6.160016575,0.794817734,,,,,,,,,,,,,,2.001689298,0,1,0,0,0,0,,,
Venezuela,Venezuela,,28.3,31,2547.76,1.405870664,0.5224,50.3,,1,South America,21,Venezuela,-1.253188923,0.949573833,,,,,,-2.227483531,-1.431773695,-3.023193367,4.961682881,-0.662467187,1.676144302,-0.427529961,,-0.672462764,1,0,0,0,1,0,0.044025157,159,7
Zambia,Zambia,,,24,1307.03,3.986408085,,,,,Africa,17,Zambia,-3.414301043,1.409750771,,,,,,0.35305389,1.148763726,-0.442655946,0.124647049,-0.722971256,,,,-0.835807284,0,0,1,0,0,0,0.025641026,39,1
Zimbabwe,Zimbabwe,,,38,859.953,2.852291689,,,,,Africa,15,Zimbabwe,-2.905139606,0.858322597,,,,,,-0.781062506,0.01464733,-1.576772342,0.610058638,-0.74477292,,,,-0.541563709,0,0,1,0,0,0,,,
Anguilla,Anguilla,,,,,,,,,,,9,Anguilla,4.783293397,0.140273727,,,,,,,,,,,,,,,0,,,,,,,,
Aruba,Aruba,,,,,,,,,,,13,Aruba,2.958734265,1.379279698,,,,,,,,,,,,,,,0,,,,,,0,64,0
Belize,Belize,,,,,,,,,,,12,Belize,0.808863097,0.530698968,,,,,,,,,,,,,,,0,,,,,,,,
Boire Sint Eustatius and Saba,Boire Sint Eustatius and Saba,,,,,,,,,,,3,Boire Sint Eustatius and Saba,4.334341843,-1.49E-15,,,,,,,,,,,,,,,0,,,,,,,,
British Virgin Islands,British Virgin Islands,,,,,,,,,,,9,British Virgin Islands,4.067087002,0.2460639,,,,,,,,,,,,,,,0,,,,,,,,
Burundi,Burundi,,,,,,,,,,,4,Burundi,-1.84607385,0.335035474,,,,,,,,,,,,,,,0,,,,,,,,
Congo,Congo,,,,,,,,,,,20,Congo,-2.641090213,1.277968982,,,,,,,,,,,,,,,0,,,,,,,,
Curacao,Curacao,,,,,,,,,,,12,Curacao,2.208754712,0.888469224,,,,,,,,,,,,,,,0,,,,,,,,
Faeroe Islands,Faeroe Islands,,,,,,,,,,,16,Faeroe Islands,7.177443959,0.389553625,-0.028590373,,,,,,,,,,,,,,0,,,,,,,,
Falkland Islands,Falkland Islands,,,,,,,,,,,1,Falkland Islands,5.659861287,,,,,,,,,,,,,,,,0,,,,,,,,
Gambia,Gambia,,,,,,,,,,,18,Gambia,-1.425445888,0.659185049,,,,,,,,,,,,,,,0,,,,,,,,
Guinea-Bissau,Guinea-Bissau,,,,,,,,,,,9,Guinea-Bissau,-0.594479637,0.929933051,,,,,,,,,,,,,,,0,,,,,,,,
Isle of Man,Isle of Man,,,,,,,,,,,15,Isle of Man,2.188543868,1.758324245,,,,,,,,,,,,,,,0,,,,,,,,
Laos,Laos,,,,,,,,,,,11,Laos,-1.372137335,0.749576849,,,,,,,,,,,,,,,0,,,,,,0,11,0
Libya,Libya,,,,,,,,,,,11,Libya,-2.791215564,1.317674763,,,,,,,,,,,,,,,0,,,,,,0.111111111,18,2
Malawi,Malawi,,,,,,,,,,,2,Malawi,-1.852643141,-4.53E-16,,,,,,,,,,,,,,,0,,,,,,,,
Mali,Mali,,,,,,,,,,,10,Mali,-2.576246,1.363433432,,,,,,,,,,,,,,,0,,,,,,,,
Myanmar,Myanmar,,,,,,,,,,,12,Myanmar,-3.662728464,1.019326777,,,,,,,,,,,,,,,0,,,,,,,,
New Caledonia,New Caledonia,,,,,,,,,,,15,New Caledonia,2.096818506,0.811307674,,,,,,,,,,,,,,,0,,,,,,,,
