STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,City,Country,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
11150099999,01/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,31.2,24,27,24,9999.9,0,999.9,0,5.1,24,3.6,24,7,999.9,42.8,*,22.5, ,0,I,999.9,0
11150099999,02/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,32.1,24,25.9,24,9999.9,0,999.9,0,7.3,24,3.7,24,9.7,999.9,45.5, ,21.2,*,0,I,999.9,0
11150099999,03/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,33.5,24,27.6,24,9999.9,0,999.9,0,6.3,24,5.3,24,9.9,999.9,44.6,*,20.8,*,99.99, ,999.9,10000
11150099999,04/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,38.1,24,33.4,24,9999.9,0,999.9,0,7,24,8.2,24,17.5,29.9,41.2,*,35.6,*,0.12,E,999.9,10000
11150099999,05/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,35.6,24,32.6,24,9999.9,0,999.9,0,6.9,24,6.7,24,17.5,26,39.2,*,28.4,*,0.04,E,999.9,10000
11150099999,06/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,32.4,24,24.6,24,9999.9,0,999.9,0,6.2,24,6.4,24,12,999.9,42.8,*,24.8,*,0,I,999.9,0
11150099999,07/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,34.6,24,30.5,24,9999.9,0,999.9,0,7.5,24,5.5,24,11.7,999.9,39.7,*,30.2,*,99.99, ,999.9,10000
11150099999,08/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,37.7,24,27.7,24,9999.9,0,999.9,0,6.5,24,8.5,24,13.6,999.9,44.2, ,25.7, ,0,I,999.9,0
11150099999,09/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,42.7,24,30.3,24,9999.9,0,999.9,0,7.7,24,7,24,12,999.9,52, ,33.8,*,0,I,999.9,0
11150099999,10/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,40.5,24,33.6,24,9999.9,0,999.9,0,7.4,24,5.7,24,12,999.9,48.2,*,30.2,*,99.99, ,999.9,10000
11150099999,11/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,37,23,33.7,23,9999.9,0,999.9,0,6.9,23,4.4,23,9.9,999.9,44.6,*,26.6,*,0.01,E,999.9,10000
11150099999,12/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,32.2,24,25,24,9999.9,0,999.9,0,6.2,24,3.3,24,9.7,999.9,46.2, ,22.3, ,0,I,999.9,0
11150099999,13/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,30.7,23,23.2,23,9999.9,0,999.9,0,9,23,4.3,23,12,999.9,41,*,23,*,0,I,999.9,0
11150099999,14/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,37.6,24,20.2,24,9999.9,0,999.9,0,7.6,24,10.9,24,15,999.9,46.8,*,31.5,*,0,I,999.9,0
11150099999,15/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,35.5,24,23.9,24,9999.9,0,999.9,0,7.7,24,5,24,13.6,999.9,45.7, ,26.6,*,0,I,999.9,0
11150099999,16/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,41.3,24,28.3,24,9999.9,0,999.9,0,7.3,24,5.5,24,11.1,999.9,54.1,*,30.2,*,0,I,999.9,0
11150099999,17/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,37.2,24,28,24,9999.9,0,999.9,0,6.4,24,5,24,9.9,999.9,52.7, ,23,*,0,I,999.9,0
11150099999,18/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,36.7,24,34.3,24,9999.9,0,999.9,0,7.2,24,3.9,24,11.1,999.9,39.2,*,32,*,99.99, ,999.9,11000
11150099999,19/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,32.5,24,31.9,24,9999.9,0,999.9,0,4.8,24,2.6,24,5.8,999.9,35.6,*,30.2,*,0.04,E,999.9,11000
11150099999,20/01/2020,47.793304,13.004333,430.07,"SALZBURG, AU",Salzburg,Austria,31.1,24,29.9,24,9999.9,0,999.9,0,4.2,24,2.4,24,5.1,999.9,35.6,*,24.8,*,0,E,999.9,11000
